 # webanno.custom.Entity | NC
#id=1
#text=»Die Karten sind hier ... « , versetzte Rogoshin , nachdem er noch länger geschwiegen hatte . »Da ...
1-1	»Die	B-NC	
1-2	Karten	B-NC	
1-3	sind	O	
1-4	hier	O	
1-5	...	O	
1-6	«	O	
1-7	,	O	
1-8	versetzte	O	
1-9	Rogoshin	B-NC	
1-10	,	O	
1-11	nachdem	O	
1-12	er	O	
1-13	noch	O	
1-14	länger	O	
1-15	geschwiegen	O	
1-16	hatte	O	
1-17	.	O	
1-18	»Da	B-NC	
1-19	...	O	

#id=2
#text=Er zog ein gebrauchtes , in Papier gewickeltes Spiel Karten aus der Tasche und reichte es dem Fürsten . Dieser nahm es , aber mit einer Art von Befremden . Ein neues , trauriges , trostloses Gefühl schnürte ihm das Herz zusammen ; er wurde sich auf einmal bewußt , daß er in diesem Augenblick und schon längst immer nicht von dem redete , wovon er reden mußte , und immer nicht das tat , was er tun mußte , und daß dies Kartenspiel , das er in den Händen hielt und über das er sich so freute , jetzt zu nichts helfen konnte , zu gar nichts . Er stand auf und schlug die Hände zusammen . Rogoshin lag da , ohne sich zu rühren , und schien seine Bewegung weder zu hören noch zu sehen ; aber seine Augen leuchteten hell durch die Dunkelheit und waren weit geöffnet und starr . Der Fürst setzte sich auf einen Stuhl und begann ihn angstvoll anzusehen . So verging etwa eine halbe Stunde ; auf einmal fing Rogoshin an , laut und stoßweise zu schreien und zu lachen , als hätte er vergessen , daß sie nur flüsternd reden durften
2-1	Er	O	
2-2	zog	O	
2-3	ein	O	
2-4	gebrauchtes	O	
2-5	,	O	
2-6	in	O	
2-7	Papier	B-NC	
2-8	gewickeltes	O	
2-9	Spiel	B-NC	
2-10	Karten	B-NC	
2-11	aus	O	
2-12	der	O	
2-13	Tasche	B-NC	
2-14	und	O	
2-15	reichte	O	
2-16	es	O	
2-17	dem	O	
2-18	Fürsten	B-NC	
2-19	.	O	
2-20	Dieser	O	
2-21	nahm	O	
2-22	es	O	
2-23	,	O	
2-24	aber	O	
2-25	mit	O	
2-26	einer	O	
2-27	Art	B-NC	
2-28	von	O	
2-29	Befremden	B-NC	
2-30	.	O	
2-31	Ein	O	
2-32	neues	O	
2-33	,	O	
2-34	trauriges	O	
2-35	,	O	
2-36	trostloses	O	
2-37	Gefühl	B-NC	
2-38	schnürte	O	
2-39	ihm	O	
2-40	das	O	
2-41	Herz	B-NC	
2-42	zusammen	O	
2-43	;	O	
2-44	er	O	
2-45	wurde	O	
2-46	sich	O	
2-47	auf	O	
2-48	einmal	O	
2-49	bewußt	O	
2-50	,	O	
2-51	daß	O	
2-52	er	O	
2-53	in	O	
2-54	diesem	O	
2-55	Augenblick	B-NC	
2-56	und	O	
2-57	schon	O	
2-58	längst	O	
2-59	immer	O	
2-60	nicht	O	
2-61	von	O	
2-62	dem	O	
2-63	redete	O	
2-64	,	O	
2-65	wovon	O	
2-66	er	O	
2-67	reden	O	
2-68	mußte	O	
2-69	,	O	
2-70	und	O	
2-71	immer	O	
2-72	nicht	O	
2-73	das	O	
2-74	tat	O	
2-75	,	O	
2-76	was	O	
2-77	er	O	
2-78	tun	O	
2-79	mußte	O	
2-80	,	O	
2-81	und	O	
2-82	daß	O	
2-83	dies	O	
2-84	Kartenspiel	B-NC	
2-85	,	O	
2-86	das	O	
2-87	er	O	
2-88	in	O	
2-89	den	O	
2-90	Händen	B-NC	
2-91	hielt	O	
2-92	und	O	
2-93	über	O	
2-94	das	O	
2-95	er	O	
2-96	sich	O	
2-97	so	O	
2-98	freute	O	
2-99	,	O	
2-100	jetzt	O	
2-101	zu	O	
2-102	nichts	O	
2-103	helfen	O	
2-104	konnte	O	
2-105	,	O	
2-106	zu	O	
2-107	gar	O	
2-108	nichts	O	
2-109	.	O	
2-110	Er	O	
2-111	stand	O	
2-112	auf	O	
2-113	und	O	
2-114	schlug	O	
2-115	die	O	
2-116	Hände	B-NC	
2-117	zusammen	O	
2-118	.	O	
2-119	Rogoshin	B-NC	
2-120	lag	O	
2-121	da	O	
2-122	,	O	
2-123	ohne	O	
2-124	sich	O	
2-125	zu	O	
2-126	rühren	O	
2-127	,	O	
2-128	und	O	
2-129	schien	O	
2-130	seine	O	
2-131	Bewegung	B-NC	
2-132	weder	O	
2-133	zu	O	
2-134	hören	O	
2-135	noch	O	
2-136	zu	O	
2-137	sehen	O	
2-138	;	O	
2-139	aber	O	
2-140	seine	O	
2-141	Augen	B-NC	
2-142	leuchteten	O	
2-143	hell	O	
2-144	durch	O	
2-145	die	O	
2-146	Dunkelheit	B-NC	
2-147	und	O	
2-148	waren	O	
2-149	weit	O	
2-150	geöffnet	O	
2-151	und	O	
2-152	starr	O	
2-153	.	O	
2-154	Der	O	
2-155	Fürst	B-NC	
2-156	setzte	O	
2-157	sich	O	
2-158	auf	O	
2-159	einen	O	
2-160	Stuhl	B-NC	
2-161	und	O	
2-162	begann	O	
2-163	ihn	O	
2-164	angstvoll	O	
2-165	anzusehen	O	
2-166	.	O	
2-167	So	O	
2-168	verging	O	
2-169	etwa	O	
2-170	eine	O	
2-171	halbe	O	
2-172	Stunde	B-NC	
2-173	;	O	
2-174	auf	O	
2-175	einmal	O	
2-176	fing	O	
2-177	Rogoshin	B-NC	
2-178	an	O	
2-179	,	O	
2-180	laut	O	
2-181	und	O	
2-182	stoßweise	O	
2-183	zu	O	
2-184	schreien	O	
2-185	und	O	
2-186	zu	O	
2-187	lachen	O	
2-188	,	O	
2-189	als	O	
2-190	hätte	O	
2-191	er	O	
2-192	vergessen	O	
2-193	,	O	
2-194	daß	O	
2-195	sie	O	
2-196	nur	O	
2-197	flüsternd	O	
2-198	reden	O	
2-199	durften	O	

#id=3
#text=»Den Offizier , den Offizier ... erinnerst du dich , wie sie den Offizier beim Konzert mit dem Spazierstöckchen ins Gesicht schlug , erinnerst du dich ? Hahaha ! Und wie der Leutnant hinzusprang ... Der Leutnant ... der Leutnant ...
3-1	»Den	O	
3-2	Offizier	B-NC	
3-3	,	O	
3-4	den	O	
3-5	Offizier	B-NC	
3-6	...	O	
3-7	erinnerst	O	
3-8	du	O	
3-9	dich	O	
3-10	,	O	
3-11	wie	O	
3-12	sie	O	
3-13	den	O	
3-14	Offizier	B-NC	
3-15	beim	O	
3-16	Konzert	B-NC	
3-17	mit	O	
3-18	dem	O	
3-19	Spazierstöckchen	B-NC	
3-20	ins	O	
3-21	Gesicht	B-NC	
3-22	schlug	O	
3-23	,	O	
3-24	erinnerst	O	
3-25	du	O	
3-26	dich	O	
3-27	?	O	
3-28	Hahaha	B-NC	
3-29	!	O	
3-30	Und	O	
3-31	wie	O	
3-32	der	O	
3-33	Leutnant	B-NC	
3-34	hinzusprang	O	
3-35	...	O	
3-36	Der	O	
3-37	Leutnant	B-NC	
3-38	...	O	
3-39	der	O	
3-40	Leutnant	B-NC	
3-41	...	O	

#id=4
#text=Der Fürst sprang in neuem Schrecken vom Stuhl auf . Als Rogoshin verstummt war ( und das geschah plötzlich ) , beugte sich der Fürst leise zu ihm herab , setzte sich neben ihn und begann ihn mit stark klopfendem Herzen und nur mühsam atmend zu betrachten . Rogoshin drehte den Kopf nicht zu ihm hin und schien seine Anwesenheit ganz vergessen zu haben . Der Fürst sah ihn an und wartete ; die Zeit verging , es begann hell zu werden . Rogoshin fing mitunter plötzlich an zu murmeln , laut , scharf und unzusammenhängend ; er schrie und lachte ; der Fürst streckte dann seine zitternde Hand nach ihm aus und berührte leise seinen Kopf und sein Haar , streichelte dieses und streichelte seine Wangen ... mehr vermochte er nicht zu tun ! Er selbst begann wieder zu zittern , und seine Beine waren auf einmal wieder wie gelähmt . Eine ganz neue Empfindung quälte sein Herz mit grenzenlosem Schmerz . Unterdessen war es ganz hell geworden ; er legte sich endlich ganz kraftlos und verzweifelt auf das Kissen und schmiegte sein Gesicht an das blasse , regungslose Gesicht Rogoshins . Tränen strömten aus seinen Augen auf Rogoshins Wangen , aber vielleicht bemerkte er damals schon seine eigenen Tränen nicht mehr und wußte nichts mehr von ihnen
4-1	Der	O	
4-2	Fürst	B-NC	
4-3	sprang	O	
4-4	in	O	
4-5	neuem	O	
4-6	Schrecken	B-NC	
4-7	vom	O	
4-8	Stuhl	B-NC	
4-9	auf	O	
4-10	.	O	
4-11	Als	O	
4-12	Rogoshin	B-NC	
4-13	verstummt	O	
4-14	war	O	
4-15	(	O	
4-16	und	O	
4-17	das	O	
4-18	geschah	O	
4-19	plötzlich	O	
4-20	)	O	
4-21	,	O	
4-22	beugte	O	
4-23	sich	O	
4-24	der	O	
4-25	Fürst	B-NC	
4-26	leise	O	
4-27	zu	O	
4-28	ihm	O	
4-29	herab	O	
4-30	,	O	
4-31	setzte	O	
4-32	sich	O	
4-33	neben	O	
4-34	ihn	O	
4-35	und	O	
4-36	begann	O	
4-37	ihn	O	
4-38	mit	O	
4-39	stark	O	
4-40	klopfendem	O	
4-41	Herzen	B-NC	
4-42	und	O	
4-43	nur	O	
4-44	mühsam	O	
4-45	atmend	O	
4-46	zu	O	
4-47	betrachten	O	
4-48	.	O	
4-49	Rogoshin	B-NC	
4-50	drehte	O	
4-51	den	O	
4-52	Kopf	B-NC	
4-53	nicht	O	
4-54	zu	O	
4-55	ihm	O	
4-56	hin	O	
4-57	und	O	
4-58	schien	O	
4-59	seine	O	
4-60	Anwesenheit	B-NC	
4-61	ganz	O	
4-62	vergessen	O	
4-63	zu	O	
4-64	haben	O	
4-65	.	O	
4-66	Der	O	
4-67	Fürst	B-NC	
4-68	sah	O	
4-69	ihn	O	
4-70	an	O	
4-71	und	O	
4-72	wartete	O	
4-73	;	O	
4-74	die	O	
4-75	Zeit	B-NC	
4-76	verging	O	
4-77	,	O	
4-78	es	O	
4-79	begann	O	
4-80	hell	O	
4-81	zu	O	
4-82	werden	O	
4-83	.	O	
4-84	Rogoshin	B-NC	
4-85	fing	O	
4-86	mitunter	O	
4-87	plötzlich	O	
4-88	an	O	
4-89	zu	O	
4-90	murmeln	O	
4-91	,	O	
4-92	laut	O	
4-93	,	O	
4-94	scharf	O	
4-95	und	O	
4-96	unzusammenhängend	O	
4-97	;	O	
4-98	er	O	
4-99	schrie	O	
4-100	und	O	
4-101	lachte	O	
4-102	;	O	
4-103	der	O	
4-104	Fürst	B-NC	
4-105	streckte	O	
4-106	dann	O	
4-107	seine	O	
4-108	zitternde	O	
4-109	Hand	B-NC	
4-110	nach	O	
4-111	ihm	O	
4-112	aus	O	
4-113	und	O	
4-114	berührte	O	
4-115	leise	O	
4-116	seinen	O	
4-117	Kopf	B-NC	
4-118	und	O	
4-119	sein	O	
4-120	Haar	B-NC	
4-121	,	O	
4-122	streichelte	O	
4-123	dieses	O	
4-124	und	O	
4-125	streichelte	O	
4-126	seine	O	
4-127	Wangen	B-NC	
4-128	...	O	
4-129	mehr	O	
4-130	vermochte	O	
4-131	er	O	
4-132	nicht	O	
4-133	zu	O	
4-134	tun	O	
4-135	!	O	
4-136	Er	O	
4-137	selbst	O	
4-138	begann	O	
4-139	wieder	O	
4-140	zu	O	
4-141	zittern	O	
4-142	,	O	
4-143	und	O	
4-144	seine	O	
4-145	Beine	B-NC	
4-146	waren	O	
4-147	auf	O	
4-148	einmal	O	
4-149	wieder	O	
4-150	wie	O	
4-151	gelähmt	O	
4-152	.	O	
4-153	Eine	O	
4-154	ganz	O	
4-155	neue	O	
4-156	Empfindung	B-NC	
4-157	quälte	O	
4-158	sein	O	
4-159	Herz	B-NC	
4-160	mit	O	
4-161	grenzenlosem	O	
4-162	Schmerz	B-NC	
4-163	.	O	
4-164	Unterdessen	O	
4-165	war	O	
4-166	es	O	
4-167	ganz	O	
4-168	hell	O	
4-169	geworden	O	
4-170	;	O	
4-171	er	O	
4-172	legte	O	
4-173	sich	O	
4-174	endlich	O	
4-175	ganz	O	
4-176	kraftlos	O	
4-177	und	O	
4-178	verzweifelt	O	
4-179	auf	O	
4-180	das	O	
4-181	Kissen	B-NC	
4-182	und	O	
4-183	schmiegte	O	
4-184	sein	O	
4-185	Gesicht	B-NC	
4-186	an	O	
4-187	das	O	
4-188	blasse	O	
4-189	,	O	
4-190	regungslose	O	
4-191	Gesicht	B-NC	
4-192	Rogoshins	B-NC	
4-193	.	O	
4-194	Tränen	B-NC	
4-195	strömten	O	
4-196	aus	O	
4-197	seinen	O	
4-198	Augen	B-NC	
4-199	auf	O	
4-200	Rogoshins	B-NC	
4-201	Wangen	B-NC	
4-202	,	O	
4-203	aber	O	
4-204	vielleicht	O	
4-205	bemerkte	O	
4-206	er	O	
4-207	damals	O	
4-208	schon	O	
4-209	seine	O	
4-210	eigenen	O	
4-211	Tränen	B-NC	
4-212	nicht	O	
4-213	mehr	O	
4-214	und	O	
4-215	wußte	O	
4-216	nichts	O	
4-217	mehr	O	
4-218	von	O	
4-219	ihnen	O	

#id=5
