 # webanno.custom.Entity | NC
#id=1
#text=В конце ноября , в оттепель , часов в девять утра , поезд Петербургско-Варшавской железной дороги на всех парах подходил к Петербургу . Было так сыро и туманно , что насилу рассвело ; в десяти шагах , вправо и влево от дороги , трудно было разглядеть хоть что-нибудь из окон вагона . Из пассажиров были и возвращавшиеся из-за границы ; но более были наполнены отделения для третьего класса , и всё людом мелким и деловым , не из очень далека . Все , как водится , устали , у всех отяжелели за ночь глаза , все назяблись , все лица были бледно-желтые , под цвет тумана
1-1	В	O	
1-2	конце	B-NC	
1-3	ноября	B-NC	
1-4	,	O	
1-5	в	O	
1-6	оттепель	B-NC	
1-7	,	O	
1-8	часов	B-NC	
1-9	в	O	
1-10	девять	O	
1-11	утра	B-NC	
1-12	,	O	
1-13	поезд	B-NC	
1-14	Петербургско-Варшавской	O	
1-15	железной	O	
1-16	дороги	B-NC	
1-17	на	O	
1-18	всех	O	
1-19	парах	B-NC	
1-20	подходил	O	
1-21	к	O	
1-22	Петербургу	B-NC	
1-23	.	O	
1-24	Было	O	
1-25	так	O	
1-26	сыро	O	
1-27	и	O	
1-28	туманно	O	
1-29	,	O	
1-30	что	O	
1-31	насилу	O	
1-32	рассвело	O	
1-33	;	O	
1-34	в	O	
1-35	десяти	O	
1-36	шагах	B-NC	
1-37	,	O	
1-38	вправо	O	
1-39	и	O	
1-40	влево	O	
1-41	от	O	
1-42	дороги	B-NC	
1-43	,	O	
1-44	трудно	O	
1-45	было	O	
1-46	разглядеть	O	
1-47	хоть	O	
1-48	что-нибудь	O	
1-49	из	O	
1-50	окон	B-NC	
1-51	вагона	B-NC	
1-52	.	O	
1-53	Из	O	
1-54	пассажиров	B-NC	
1-55	были	O	
1-56	и	O	
1-57	возвращавшиеся	O	
1-58	из-за	O	
1-59	границы	B-NC	
1-60	;	O	
1-61	но	O	
1-62	более	O	
1-63	были	O	
1-64	наполнены	O	
1-65	отделения	B-NC	
1-66	для	O	
1-67	третьего	O	
1-68	класса	B-NC	
1-69	,	O	
1-70	и	O	
1-71	всё	B-NC	
1-72	людом	B-NC	
1-73	мелким	O	
1-74	и	O	
1-75	деловым	O	
1-76	,	O	
1-77	не	O	
1-78	из	O	
1-79	очень	O	
1-80	далека	O	
1-81	.	O	
1-82	Все	O	
1-83	,	O	
1-84	как	O	
1-85	водится	O	
1-86	,	O	
1-87	устали	O	
1-88	,	O	
1-89	у	O	
1-90	всех	O	
1-91	отяжелели	O	
1-92	за	O	
1-93	ночь	B-NC	
1-94	глаза	B-NC	
1-95	,	O	
1-96	все	O	
1-97	назяблись	O	
1-98	,	O	
1-99	все	O	
1-100	лица	B-NC	
1-101	были	O	
1-102	бледно-желтые	O	
1-103	,	O	
1-104	под	O	
1-105	цвет	B-NC	
1-106	тумана	B-NC	

#id=2
#text=В одном из вагонов третьего класса , с рассвета , очутились друг против друга , у самого окна , два пассажира -- оба люди молодые , оба почти налегке , оба не щегольски одетые , оба с довольно замечательными физиономиями и оба пожелавшие , наконец , войти друг с другом в разговор . Если б они оба знали один про другого , чем они особенно в эту минуту замечательны , то , конечно , подивились бы , что случай так странно посадил их друг против друга в третьеклассном вагоне петербургско-варшавского поезда . Один из них был небольшого роста , лет двадцати семи , курчавый и почти черноволосый , с серыми маленькими , но огненными глазами . Нос его был широк и сплюснут , лицо скулистое ; тонкие губы беспрерывно складывались в какую-то наглую , насмешливую и даже злую улыбку ; но лоб его был высок и хорошо сформирован и скрашивал неблагородно развитую нижнюю часть лица
2-1	В	O	
2-2	одном	O	
2-3	из	O	
2-4	вагонов	B-NC	
2-5	третьего	O	
2-6	класса	B-NC	
2-7	,	O	
2-8	с	O	
2-9	рассвета	B-NC	
2-10	,	O	
2-11	очутились	O	
2-12	друг	O	
2-13	против	O	
2-14	друга	O	
2-15	,	O	
2-16	у	O	
2-17	самого	O	
2-18	окна	B-NC	
2-19	,	O	
2-20	два	O	
2-21	пассажира	B-NC	
2-22	--	O	
2-23	оба	O	
2-24	люди	B-NC	
2-25	молодые	O	
2-26	,	O	
2-27	оба	O	
2-28	почти	O	
2-29	налегке	O	
2-30	,	O	
2-31	оба	O	
2-32	не	O	
2-33	щегольски	O	
2-34	одетые	O	
2-35	,	O	
2-36	оба	O	
2-37	с	O	
2-38	довольно	O	
2-39	замечательными	O	
2-40	физиономиями	B-NC	
2-41	и	O	
2-42	оба	O	
2-43	пожелавшие	O	
2-44	,	O	
2-45	наконец	O	
2-46	,	O	
2-47	войти	O	
2-48	друг	O	
2-49	с	O	
2-50	другом	O	
2-51	в	O	
2-52	разговор	B-NC	
2-53	.	O	
2-54	Если	O	
2-55	б	O	
2-56	они	O	
2-57	оба	O	
2-58	знали	O	
2-59	один	O	
2-60	про	O	
2-61	другого	O	
2-62	,	O	
2-63	чем	O	
2-64	они	O	
2-65	особенно	O	
2-66	в	O	
2-67	эту	O	
2-68	минуту	B-NC	
2-69	замечательны	O	
2-70	,	O	
2-71	то	O	
2-72	,	O	
2-73	конечно	O	
2-74	,	O	
2-75	подивились	O	
2-76	бы	O	
2-77	,	O	
2-78	что	O	
2-79	случай	B-NC	
2-80	так	O	
2-81	странно	O	
2-82	посадил	O	
2-83	их	O	
2-84	друг	O	
2-85	против	O	
2-86	друга	O	
2-87	в	O	
2-88	третьеклассном	O	
2-89	вагоне	B-NC	
2-90	петербургско-варшавского	O	
2-91	поезда	B-NC	
2-92	.	O	
2-93	Один	O	
2-94	из	O	
2-95	них	O	
2-96	был	O	
2-97	небольшого	O	
2-98	роста	B-NC	
2-99	,	O	
2-100	лет	B-NC	
2-101	двадцати	O	
2-102	семи	O	
2-103	,	O	
2-104	курчавый	O	
2-105	и	O	
2-106	почти	O	
2-107	черноволосый	O	
2-108	,	O	
2-109	с	O	
2-110	серыми	O	
2-111	маленькими	O	
2-112	,	O	
2-113	но	O	
2-114	огненными	O	
2-115	глазами	B-NC	
2-116	.	O	
2-117	Нос	B-NC	
2-118	его	O	
2-119	был	O	
2-120	широк	O	
2-121	и	O	
2-122	сплюснут	O	
2-123	,	O	
2-124	лицо	B-NC	
2-125	скулистое	O	
2-126	;	O	
2-127	тонкие	O	
2-128	губы	B-NC	
2-129	беспрерывно	O	
2-130	складывались	O	
2-131	в	O	
2-132	какую-то	O	
2-133	наглую	O	
2-134	,	O	
2-135	насмешливую	O	
2-136	и	O	
2-137	даже	O	
2-138	злую	O	
2-139	улыбку	B-NC	
2-140	;	O	
2-141	но	O	
2-142	лоб	B-NC	
2-143	его	O	
2-144	был	O	
2-145	высок	O	
2-146	и	O	
2-147	хорошо	O	
2-148	сформирован	O	
2-149	и	O	
2-150	скрашивал	O	
2-151	неблагородно	O	
2-152	развитую	O	
2-153	нижнюю	O	
2-154	часть	B-NC	
2-155	лица	B-NC	

#id=3
#text=Особенно приметна была в этом лице его мертвая бледность , придававшая всей физиономии молодого человека изможденный вид , несмотря на довольно крепкое сложение , и вместе с тем что-то страстное , до страдания , не гармонировавшее с нахальною и грубою улыбкой и с резким , самодовольным его взглядом . Он был тепло одет , в широкий мерлушечий черный крытый тулуп , и за ночь не зяб , тогда как сосед его принужден был вынести на своей издрогшей спине всю сладость сырой ноябрьской русской ночи , к которой , очевидно , был не приготовлен . На нем был довольно широкий и толстый плащ без рукавов и с огромным капюшоном , точь-в-точь как употребляют часто дорожные , по зимам , где-нибудь далеко за границей , в Швейцарии или , например , в Северной Италии , не рассчитывая , конечно , при этом и на такие концы по дороге , как от Эйдткунена до Петербурга . Но что годилось и вполне удовлетворяло в Италии , то оказалось не совсем пригодным в России . Обладатель плаща с капюшоном был молодой человек , тоже лет двадцати шести или двадцати семи , роста немного повыше среднего , очень белокур , густоволос , со впалыми щеками и с легонькою , востренькою , почти совершенно белою бородкой . Глаза его были большие , голубые и пристальные ; во взгляде их было что-то тихое , но тяжелое , что-то полное того странного выражения , по которому некоторые угадывают с первого взгляда в субъекте падучую болезнь . Лицо молодого человека было , впрочем , приятное , тонкое и сухое , но бесцветное , а теперь даже досиня иззябшее . В руках его болтался тощий узелок из старого , полинялого фуляра , заключавший , кажется , всё его дорожное достояние . На ногах его были толстоподошвенные башмаки с штиблетами , -- всё не по-русски . Черноволосый сосед в крытом тулупе всё это разглядел , частию от нечего делать , и наконец спросил с тою неделикатною усмешкой , в которой так бесцеремонно и небрежно выражается иногда людское удовольствие при неудачах ближнего
3-1	Особенно	O	
3-2	приметна	O	
3-3	была	O	
3-4	в	O	
3-5	этом	O	
3-6	лице	B-NC	
3-7	его	O	
3-8	мертвая	O	
3-9	бледность	B-NC	
3-10	,	O	
3-11	придававшая	O	
3-12	всей	O	
3-13	физиономии	B-NC	
3-14	молодого	O	
3-15	человека	B-NC	
3-16	изможденный	O	
3-17	вид	B-NC	
3-18	,	O	
3-19	несмотря	O	
3-20	на	O	
3-21	довольно	O	
3-22	крепкое	O	
3-23	сложение	B-NC	
3-24	,	O	
3-25	и	O	
3-26	вместе	O	
3-27	с	O	
3-28	тем	O	
3-29	что-то	B-NC	
3-30	страстное	O	
3-31	,	O	
3-32	до	O	
3-33	страдания	B-NC	
3-34	,	O	
3-35	не	O	
3-36	гармонировавшее	O	
3-37	с	O	
3-38	нахальною	O	
3-39	и	O	
3-40	грубою	O	
3-41	улыбкой	B-NC	
3-42	и	O	
3-43	с	O	
3-44	резким	O	
3-45	,	O	
3-46	самодовольным	O	
3-47	его	O	
3-48	взглядом	B-NC	
3-49	.	O	
3-50	Он	O	
3-51	был	O	
3-52	тепло	O	
3-53	одет	O	
3-54	,	O	
3-55	в	O	
3-56	широкий	O	
3-57	мерлушечий	O	
3-58	черный	O	
3-59	крытый	O	
3-60	тулуп	B-NC	
3-61	,	O	
3-62	и	O	
3-63	за	O	
3-64	ночь	B-NC	
3-65	не	O	
3-66	зяб	O	
3-67	,	O	
3-68	тогда	O	
3-69	как	O	
3-70	сосед	B-NC	
3-71	его	O	
3-72	принужден	O	
3-73	был	O	
3-74	вынести	O	
3-75	на	O	
3-76	своей	O	
3-77	издрогшей	O	
3-78	спине	B-NC	
3-79	всю	O	
3-80	сладость	B-NC	
3-81	сырой	O	
3-82	ноябрьской	O	
3-83	русской	O	
3-84	ночи	B-NC	
3-85	,	O	
3-86	к	O	
3-87	которой	O	
3-88	,	O	
3-89	очевидно	O	
3-90	,	O	
3-91	был	O	
3-92	не	O	
3-93	приготовлен	O	
3-94	.	O	
3-95	На	O	
3-96	нем	O	
3-97	был	O	
3-98	довольно	O	
3-99	широкий	O	
3-100	и	O	
3-101	толстый	O	
3-102	плащ	B-NC	
3-103	без	O	
3-104	рукавов	B-NC	
3-105	и	O	
3-106	с	O	
3-107	огромным	O	
3-108	капюшоном	B-NC	
3-109	,	O	
3-110	точь-в-точь	B-NC	
3-111	как	O	
3-112	употребляют	O	
3-113	часто	O	
3-114	дорожные	O	
3-115	,	O	
3-116	по	O	
3-117	зимам	B-NC	
3-118	,	O	
3-119	где-нибудь	O	
3-120	далеко	O	
3-121	за	O	
3-122	границей	B-NC	
3-123	,	O	
3-124	в	O	
3-125	Швейцарии	B-NC	
3-126	или	O	
3-127	,	O	
3-128	например	O	
3-129	,	O	
3-130	в	O	
3-131	Северной	O	
3-132	Италии	B-NC	
3-133	,	O	
3-134	не	O	
3-135	рассчитывая	O	
3-136	,	O	
3-137	конечно	O	
3-138	,	O	
3-139	при	O	
3-140	этом	O	
3-141	и	O	
3-142	на	O	
3-143	такие	O	
3-144	концы	B-NC	
3-145	по	O	
3-146	дороге	B-NC	
3-147	,	O	
3-148	как	O	
3-149	от	O	
3-150	Эйдткунена	B-NC	
3-151	до	O	
3-152	Петербурга	B-NC	
3-153	.	O	
3-154	Но	O	
3-155	что	O	
3-156	годилось	O	
3-157	и	O	
3-158	вполне	O	
3-159	удовлетворяло	O	
3-160	в	O	
3-161	Италии	B-NC	
3-162	,	O	
3-163	то	O	
3-164	оказалось	O	
3-165	не	O	
3-166	совсем	O	
3-167	пригодным	O	
3-168	в	O	
3-169	России	B-NC	
3-170	.	O	
3-171	Обладатель	B-NC	
3-172	плаща	B-NC	
3-173	с	O	
3-174	капюшоном	B-NC	
3-175	был	O	
3-176	молодой	O	
3-177	человек	B-NC	
3-178	,	O	
3-179	тоже	O	
3-180	лет	B-NC	
3-181	двадцати	O	
3-182	шести	O	
3-183	или	O	
3-184	двадцати	O	
