 # webanno.custom.Entity | NC
#id=1
#text=A Russian passenger plane has crashed after landing at Irkutsk Airport , in Siberia and up to 150 people are feared dead in the crash . At 7:44 a. m. local time ( 2244 UTC Saturday ) , the plane veered off the rain-slipped runway as it was landing , tore through a concrete barrier , and crashed into the nearby garage buildings , causing the plane to burst into flames . Witnesses have said that the aircraft appeared out of control shortly before touchdown , and was travelling at a terrific speed
1-1	A	O	
1-2	Russian	O	
1-3	passenger	B-NC	
1-4	plane	B-NC	
1-5	has	O	
1-6	crashed	O	
1-7	after	O	
1-8	landing	B-NC	
1-9	at	O	
1-10	Irkutsk	B-NC	
1-11	Airport	B-NC	
1-12	,	O	
1-13	in	O	
1-14	Siberia	B-NC	
1-15	and	O	
1-16	up	O	
1-17	to	O	
1-18	150	O	
1-19	people	B-NC	
1-20	are	O	
1-21	feared	O	
1-22	dead	O	
1-23	in	O	
1-24	the	O	
1-25	crash	B-NC	
1-26	.	O	
1-27	At	O	
1-28	7:44	O	
1-29	a.	O	
1-30	m.	O	
1-31	local	O	
1-32	time	B-NC	
1-33	(	O	
1-34	2244	O	
1-35	UTC	B-NC	
1-36	Saturday	B-NC	
1-37	)	O	
1-38	,	O	
1-39	the	O	
1-40	plane	B-NC	
1-41	veered	O	
1-42	off	O	
1-43	the	O	
1-44	rain-slipped	O	
1-45	runway	B-NC	
1-46	as	O	
1-47	it	O	
1-48	was	O	
1-49	landing	B-NC	
1-50	,	O	
1-51	tore	O	
1-52	through	O	
1-53	a	O	
1-54	concrete	O	
1-55	barrier	B-NC	
1-56	,	O	
1-57	and	O	
1-58	crashed	O	
1-59	into	O	
1-60	the	O	
1-61	nearby	O	
1-62	garage	B-NC	
1-63	buildings	B-NC	
1-64	,	O	
1-65	causing	O	
1-66	the	O	
1-67	plane	B-NC	
1-68	to	O	
1-69	burst	O	
1-70	into	O	
1-71	flames	B-NC	
1-72	.	O	
1-73	Witnesses	B-NC	
1-74	have	O	
1-75	said	O	
1-76	that	O	
1-77	the	O	
1-78	aircraft	B-NC	
1-79	appeared	O	
1-80	out	O	
1-81	of	O	
1-82	control	B-NC	
1-83	shortly	O	
1-84	before	O	
1-85	touchdown	B-NC	
1-86	,	O	
1-87	and	O	
1-88	was	O	
1-89	travelling	O	
1-90	at	O	
1-91	a	O	
1-92	terrific	O	
1-93	speed	B-NC	

#id=2
#text=There were 192 passengers and 8 crew onboard the aircraft . So far , 68 passengers have emerged injured and 124 bodies have been recovered . Russian officials suggest that the final death toll is likely to be closer to 150 . None of the crew has survived . Many of the passengers were holidaymakers , and there were many children onboard . A few of the survivors are said to owe their lives to a flight attendant , who managed to open the emergency escape hatch in the rear of the aircraft
2-1	There	O	
2-2	were	O	
2-3	192	O	
2-4	passengers	B-NC	
2-5	and	O	
2-6	8	O	
2-7	crew	B-NC	
2-8	onboard	O	
2-9	the	O	
2-10	aircraft	B-NC	
2-11	.	O	
2-12	So	O	
2-13	far	O	
2-14	,	O	
2-15	68	O	
2-16	passengers	B-NC	
2-17	have	O	
2-18	emerged	O	
2-19	injured	O	
2-20	and	O	
2-21	124	O	
2-22	bodies	B-NC	
2-23	have	O	
2-24	been	O	
2-25	recovered	O	
2-26	.	O	
2-27	Russian	O	
2-28	officials	B-NC	
2-29	suggest	O	
2-30	that	O	
2-31	the	O	
2-32	final	O	
2-33	death	B-NC	
2-34	toll	B-NC	
2-35	is	O	
2-36	likely	O	
2-37	to	O	
2-38	be	O	
2-39	closer	O	
2-40	to	O	
2-41	150	O	
2-42	.	O	
2-43	None	B-NC	
2-44	of	O	
2-45	the	O	
2-46	crew	B-NC	
2-47	has	O	
2-48	survived	O	
2-49	.	O	
2-50	Many	O	
2-51	of	O	
2-52	the	O	
2-53	passengers	B-NC	
2-54	were	O	
2-55	holidaymakers	B-NC	
2-56	,	O	
2-57	and	O	
2-58	there	O	
2-59	were	O	
2-60	many	O	
2-61	children	B-NC	
2-62	onboard	O	
2-63	.	O	
2-64	A	O	
2-65	few	O	
2-66	of	O	
2-67	the	O	
2-68	survivors	B-NC	
2-69	are	O	
2-70	said	O	
2-71	to	O	
2-72	owe	O	
2-73	their	O	
2-74	lives	B-NC	
2-75	to	O	
2-76	a	O	
2-77	flight	B-NC	
2-78	attendant	B-NC	
2-79	,	O	
2-80	who	O	
2-81	managed	O	
2-82	to	O	
2-83	open	O	
2-84	the	O	
2-85	emergency	B-NC	
2-86	escape	B-NC	
2-87	hatch	B-NC	
2-88	in	O	
2-89	the	O	
2-90	rear	B-NC	
2-91	of	O	
2-92	the	O	
2-93	aircraft	B-NC	

#id=3
#text=The Aircraft was an Airbus A310 , travelling from Moscow airport
3-1	The	B-NC	
3-2	Aircraft	B-NC	
3-3	was	O	
3-4	an	O	
3-5	Airbus	B-NC	
3-6	A310	B-NC	
3-7	,	O	
3-8	travelling	O	
3-9	from	O	
3-10	Moscow	B-NC	
3-11	airport	B-NC	

#id=4
#text=A failure of brakes on a wet runway was cited as the possible cause of the crash ( although unlikely )
4-1	A	O	
4-2	failure	B-NC	
4-3	of	O	
4-4	brakes	B-NC	
4-5	on	O	
4-6	a	O	
4-7	wet	O	
4-8	runway	B-NC	
4-9	was	O	
4-10	cited	O	
4-11	as	O	
4-12	the	O	
4-13	possible	O	
4-14	cause	B-NC	
4-15	of	O	
4-16	the	O	
4-17	crash	B-NC	
4-18	(	O	
4-19	although	O	
4-20	unlikely	O	
4-21	)	O	

