 # webanno.custom.Entity | NC
#id=1
#text=Opuntia ficus-indica ist eine Pflanzenart in der Gattung der Opuntien ( Opuntia ) aus der Familie der Kakteengewächse ( Cactaceae ) . Das Artepitheton ficus-indica bedeutet indische Feige . Die Früchte sind essbar und werden Kaktusfeigen genannt . Die jungen Blätter sind ebenfalls essbar und gehören zur mexikanischen Standardküche
1-1	Opuntia	B-NC	
1-2	ficus-indica	B-NC	
1-3	ist	O	
1-4	eine	O	
1-5	Pflanzenart	B-NC	
1-6	in	O	
1-7	der	O	
1-8	Gattung	B-NC	
1-9	der	O	
1-10	Opuntien	B-NC	
1-11	(	O	
1-12	Opuntia	B-NC	
1-13	)	O	
1-14	aus	O	
1-15	der	O	
1-16	Familie	B-NC	
1-17	der	O	
1-18	Kakteengewächse	B-NC	
1-19	(	O	
1-20	Cactaceae	B-NC	
1-21	)	O	
1-22	.	O	
1-23	Das	O	
1-24	Artepitheton	B-NC	
1-25	ficus-indica	B-NC	
1-26	bedeutet	O	
1-27	indische	O	
1-28	Feige	B-NC	
1-29	.	O	
1-30	Die	O	
1-31	Früchte	B-NC	
1-32	sind	O	
1-33	essbar	O	
1-34	und	O	
1-35	werden	O	
1-36	Kaktusfeigen	B-NC	
1-37	genannt	O	
1-38	.	O	
1-39	Die	O	
1-40	jungen	O	
1-41	Blätter	B-NC	
1-42	sind	O	
1-43	ebenfalls	O	
1-44	essbar	O	
1-45	und	O	
1-46	gehören	O	
1-47	zur	O	
1-48	mexikanischen	O	
1-49	Standardküche	B-NC	

