 # webanno.custom.Entity | NC
#id=1
#text=Gegen sieben Uhr an einem recht schwülen Sommerabend in den Sionibergen erwachte Vater Wolf , gähnte , reckte sich und streckte die Läufe , einen nach dem anderen , um das Schlafgefühl in den Pfoten loszuwerden . Neben ihm lag Mutter Wolf , die lange graue Nase quer über den vier winselnden und quarrenden Jungen , und von draußen her schien der Mond in die Höhle , in der sie alle hausten
1-1	Gegen	O	
1-2	sieben	O	
1-3	Uhr	B-NC	
1-4	an	O	
1-5	einem	O	
1-6	recht	O	
1-7	schwülen	O	
1-8	Sommerabend	B-NC	
1-9	in	O	
1-10	den	O	
1-11	Sionibergen	B-NC	
1-12	erwachte	O	
1-13	Vater	B-NC	
1-14	Wolf	B-NC	
1-15	,	O	
1-16	gähnte	O	
1-17	,	O	
1-18	reckte	O	
1-19	sich	O	
1-20	und	O	
1-21	streckte	O	
1-22	die	O	
1-23	Läufe	B-NC	
1-24	,	O	
1-25	einen	O	
1-26	nach	O	
1-27	dem	O	
1-28	anderen	O	
1-29	,	O	
1-30	um	O	
1-31	das	O	
1-32	Schlafgefühl	B-NC	
1-33	in	O	
1-34	den	O	
1-35	Pfoten	B-NC	
1-36	loszuwerden	O	
1-37	.	O	
1-38	Neben	O	
1-39	ihm	O	
1-40	lag	O	
1-41	Mutter	B-NC	
1-42	Wolf	B-NC	
1-43	,	O	
1-44	die	O	
1-45	lange	O	
1-46	graue	O	
1-47	Nase	B-NC	
1-48	quer	O	
1-49	über	O	
1-50	den	O	
1-51	vier	O	
1-52	winselnden	O	
1-53	und	O	
1-54	quarrenden	O	
1-55	Jungen	B-NC	
1-56	,	O	
1-57	und	O	
1-58	von	O	
1-59	draußen	O	
1-60	her	O	
1-61	schien	O	
1-62	der	O	
1-63	Mond	B-NC	
1-64	in	O	
1-65	die	O	
1-66	Höhle	B-NC	
1-67	,	O	
1-68	in	O	
1-69	der	O	
1-70	sie	O	
1-71	alle	O	
1-72	hausten	O	

#id=2
#text=»A - ruff« , knurrte Vater Wolf , »schon wieder Zeit , auf Jagd zu gehen . « Gerade wollte er den Hang hinabsetzen , als am Eingang der Höhle ein kleiner Schatten mit buschiger Rute erschien und winselte : »Glück sei mit dir , Häuptling der Wölfe ! Und viel Glück deinen edlen Kindern , weiße , scharfe Zähne sollen ihnen wachsen . Mögen sie nie die Hungernden und Darbenden vergessen in dieser Welt !
2-1	»A	B-NC	
2-2	-	O	
2-3	ruff«	O	
2-4	,	O	
2-5	knurrte	O	
2-6	Vater	B-NC	
2-7	Wolf	B-NC	
2-8	,	O	
2-9	»schon	B-NC	
2-10	wieder	O	
2-11	Zeit	B-NC	
2-12	,	O	
2-13	auf	O	
2-14	Jagd	B-NC	
2-15	zu	O	
