 # webanno.custom.Entity | NC
#id=1
#text=В Сионийских горах наступил очень жаркий вечер . Отец Волк проснулся после дневного отдыха , зевнул , почесался и одну за другой вытянул свои передние лапы , чтобы прогнать из них остаток тяжести . Волчица Мать лежала , прикрыв своей большой серой мордой четверых барахтавшихся , повизгивавших волчат , а в отверстие их пещеры светила луна
1-1	В	O	
1-2	Сионийских	O	
1-3	горах	B-NC	
1-4	наступил	O	
1-5	очень	O	
1-6	жаркий	O	
1-7	вечер	B-NC	
1-8	.	O	
1-9	Отец	B-NC	
1-10	Волк	B-NC	
1-11	проснулся	O	
1-12	после	O	
1-13	дневного	O	
1-14	отдыха	B-NC	
1-15	,	O	
1-16	зевнул	O	
1-17	,	O	
1-18	почесался	O	
1-19	и	O	
1-20	одну	O	
1-21	за	O	
1-22	другой	O	
1-23	вытянул	O	
1-24	свои	O	
1-25	передние	O	
1-26	лапы	B-NC	
1-27	,	O	
1-28	чтобы	O	
1-29	прогнать	O	
1-30	из	O	
1-31	них	O	
1-32	остаток	B-NC	
1-33	тяжести	B-NC	
1-34	.	O	
1-35	Волчица	B-NC	
1-36	Мать	B-NC	
1-37	лежала	O	
1-38	,	O	
1-39	прикрыв	O	
1-40	своей	O	
1-41	большой	O	
1-42	серой	O	
1-43	мордой	B-NC	
1-44	четверых	O	
1-45	барахтавшихся	B-NC	
1-46	,	O	
1-47	повизгивавших	O	
1-48	волчат	O	
1-49	,	O	
1-50	а	O	
1-51	в	O	
1-52	отверстие	B-NC	
1-53	их	O	
1-54	пещеры	B-NC	
1-55	светила	O	
1-56	луна	B-NC	

#id=2
#text=- - Огур ! . . - - сказал Отец Волк . - - Пора мне идти на охоту
2-1	-	O	
2-2	-	O	
2-3	Огур	B-NC	
2-4	!	O	
2-5	.	O	
2-6	.	O	
2-7	-	O	
2-8	-	O	
2-9	сказал	O	
2-10	Отец	B-NC	
2-11	Волк	B-NC	
2-12	.	O	
2-13	-	O	
2-14	-	O	
2-15	Пора	O	
2-16	мне	O	
2-17	идти	O	
2-18	на	O	
2-19	охоту	B-NC	

#id=3
#text=И он уже готовился пуститься по откосу горы , когда маленькая тень с пушистым хвостом показалась подле входа в пещеру и жалобно провизжала
3-1	И	O	
3-2	он	O	
3-3	уже	O	
3-4	готовился	O	
3-5	пуститься	O	
3-6	по	O	
3-7	откосу	B-NC	
3-8	горы	B-NC	
3-9	,	O	
3-10	когда	O	
3-11	маленькая	O	
3-12	тень	B-NC	
3-13	с	O	
3-14	пушистым	O	
3-15	хвостом	B-NC	
3-16	показалась	O	
3-17	подле	O	
3-18	входа	B-NC	
3-19	в	O	
3-20	пещеру	B-NC	
3-21	и	O	
3-22	жалобно	O	
3-23	провизжала	O	

#id=4
#text=- - Пусть тебе сопутствует удача , о вождь волков , пусть судьба даст твоим благородным детям сильные , белые зубы ; пусть счастье улыбается им . И да не забывают они голодных
4-1	-	O	
4-2	-	O	
4-3	Пусть	O	
4-4	тебе	O	
4-5	сопутствует	O	
4-6	удача	B-NC	
4-7	,	O	
4-8	о	O	
4-9	вождь	B-NC	
4-10	волков	B-NC	
4-11	,	O	
4-12	пусть	O	
4-13	судьба	B-NC	
4-14	даст	O	
4-15	твоим	O	
4-16	благородным	O	
4-17	детям	B-NC	
4-18	сильные	O	
4-19	,	O	
4-20	белые	O	
4-21	зубы	B-NC	
4-22	;	O	
4-23	пусть	O	
4-24	счастье	B-NC	
4-25	улыбается	O	
4-26	им	O	
4-27	.	O	
4-28	И	O	
4-29	да	O	
4-30	не	O	
4-31	забывают	O	
4-32	они	O	
4-33	голодных	B-NC	

#id=5
#text=Говорил шакал Табаки , лизоблюд . Волки Индии презирали Табаки за то , что он всем причинял неприятности , сплетничал и поедал тряпье и лоскутья кожи на сельских свалках мусора . Вместе с тем , в джунглях боялись его , потому что шакалы способны сходить с ума , а в таком состоянии они забывают всякий страх , бегают по лесам и кусают всех , кого встречают . Когда маленький шакал сходит с ума , даже тигр прячется от него . Ведь для дикого создания безумие величайший позор ! Мы называем эту болезнь водобоязнью , в джунглях же ее считают дивани - - безумием
5-1	Говорил	O	
5-2	шакал	B-NC	
5-3	Табаки	B-NC	
5-4	,	O	
5-5	лизоблюд	B-NC	
5-6	.	O	
5-7	Волки	B-NC	
5-8	Индии	B-NC	
5-9	презирали	O	
5-10	Табаки	B-NC	
5-11	за	O	
5-12	то	O	
5-13	,	O	
5-14	что	O	
5-15	он	O	
5-16	всем	O	
5-17	причинял	O	
5-18	неприятности	B-NC	
5-19	,	O	
5-20	сплетничал	O	
5-21	и	O	
5-22	поедал	O	
5-23	тряпье	B-NC	
5-24	и	O	
5-25	лоскутья	B-NC	
5-26	кожи	B-NC	
5-27	на	O	
5-28	сельских	O	
5-29	свалках	B-NC	
5-30	мусора	B-NC	
5-31	.	O	
5-32	Вместе	O	
5-33	с	O	
5-34	тем	O	
5-35	,	O	
5-36	в	O	
5-37	джунглях	B-NC	
5-38	боялись	O	
5-39	его	O	
5-40	,	O	
5-41	потому	O	
5-42	что	O	
5-43	шакалы	B-NC	
5-44	способны	O	
5-45	сходить	O	
5-46	с	O	
5-47	ума	B-NC	
5-48	,	O	
5-49	а	O	
5-50	в	O	
5-51	таком	O	
5-52	состоянии	B-NC	
5-53	они	O	
5-54	забывают	O	
5-55	всякий	O	
5-56	страх	B-NC	
5-57	,	O	
5-58	бегают	O	
5-59	по	O	
5-60	лесам	B-NC	
5-61	и	O	
5-62	кусают	O	
5-63	всех	O	
5-64	,	O	
5-65	кого	O	
5-66	встречают	O	
5-67	.	O	
5-68	Когда	O	
5-69	маленький	O	
5-70	шакал	B-NC	
5-71	сходит	O	
5-72	с	O	
5-73	ума	B-NC	
5-74	,	O	
5-75	даже	O	
5-76	тигр	B-NC	
5-77	прячется	O	
5-78	от	O	
5-79	него	O	
5-80	.	O	
5-81	Ведь	O	
5-82	для	O	
5-83	дикого	O	
5-84	создания	B-NC	
5-85	безумие	B-NC	
5-86	величайший	O	
5-87	позор	B-NC	
5-88	!	O	
5-89	Мы	O	
5-90	называем	O	
5-91	эту	O	
5-92	болезнь	B-NC	
5-93	водобоязнью	B-NC	
5-94	,	O	
5-95	в	O	
5-96	джунглях	B-NC	
5-97	же	O	
5-98	ее	O	
5-99	считают	O	
5-100	дивани	B-NC	
5-101	-	O	
5-102	-	O	
5-103	безумием	B-NC	

#id=6
#text=- - Войди же и посмотри , - - сухо сказал ему Волк , - - только в пещере нет ничего съедобного
6-1	-	O	
6-2	-	O	
6-3	Войди	O	
6-4	же	O	
6-5	и	O	
6-6	посмотри	O	
6-7	,	O	
6-8	-	O	
6-9	-	O	
6-10	сухо	O	
6-11	сказал	O	
6-12	ему	O	
6-13	Волк	B-NC	
6-14	,	O	
6-15	-	O	
6-16	-	O	
6-17	только	O	
6-18	в	O	
6-19	пещере	B-NC	
6-20	нет	O	
6-21	ничего	O	
6-22	съедобного	O	

#id=7
#text=- - Для волка - - нет , - - ответил Табаки , - - но для такого скромного создания , как я , даже обглоданная кость - - великолепный пир . Что такое мы , Джидур лог - - племя шакалов , - - чтобы выбирать и пробовать
7-1	-	O	
7-2	-	O	
7-3	Для	O	
7-4	волка	B-NC	
7-5	-	O	
7-6	-	O	
7-7	нет	O	
7-8	,	O	
7-9	-	O	
7-10	-	O	
7-11	ответил	O	
7-12	Табаки	B-NC	
7-13	,	O	
7-14	-	O	
7-15	-	O	
7-16	но	O	
7-17	для	O	
7-18	такого	O	
7-19	скромного	O	
7-20	создания	B-NC	
7-21	,	O	
7-22	как	O	
7-23	я	O	
7-24	,	O	
7-25	даже	O	
7-26	обглоданная	O	
7-27	кость	B-NC	
7-28	-	O	
7-29	-	O	
7-30	великолепный	O	
7-31	пир	B-NC	
7-32	.	O	
7-33	Что	O	
7-34	такое	O	
7-35	мы	O	
7-36	,	O	
7-37	Джидур	B-NC	
7-38	лог	B-NC	
7-39	-	O	
7-40	-	O	
7-41	племя	B-NC	
7-42	шакалов	B-NC	
7-43	,	O	
7-44	-	O	
7-45	-	O	
7-46	чтобы	O	
7-47	выбирать	O	
7-48	и	O	
7-49	пробовать	O	

#id=8
#text=Мелкими шажками он вбежал в самую глубь пещеры , отыскал там оленью кость с остатками мяса , присел и принялся с наслаждением ее грызть
8-1	Мелкими	O	
8-2	шажками	B-NC	
8-3	он	O	
8-4	вбежал	O	
8-5	в	O	
8-6	самую	O	
8-7	глубь	B-NC	
8-8	пещеры	B-NC	
8-9	,	O	
8-10	отыскал	O	
8-11	там	O	
8-12	оленью	O	
8-13	кость	B-NC	
8-14	с	O	
8-15	остатками	B-NC	
8-16	мяса	B-NC	
8-17	,	O	
8-18	присел	O	
8-19	и	O	
8-20	принялся	O	
8-21	с	O	
8-22	наслаждением	B-NC	
8-23	ее	O	
8-24	грызть	O	

#id=9
#text=- - Прими великую благодарность за прекрасное угощение , - - сказал он , облизываясь . - - Какие красавцы , благородные дети ! Какие у них большие глаза ! А еще такие юные . Впрочем , что я ? Мне следовало помнить , что королевские дети с первого дня своей жизни - - взрослые
9-1	-	O	
9-2	-	O	
9-3	Прими	O	
9-4	великую	O	
9-5	благодарность	B-NC	
9-6	за	O	
9-7	прекрасное	O	
9-8	угощение	B-NC	
9-9	,	O	
9-10	-	O	
9-11	-	O	
9-12	сказал	O	
9-13	он	O	
9-14	,	O	
9-15	облизываясь	O	
9-16	.	O	
9-17	-	O	
9-18	-	O	
9-19	Какие	O	
9-20	красавцы	B-NC	
9-21	,	O	
9-22	благородные	O	
9-23	дети	B-NC	
9-24	!	O	
9-25	Какие	O	
9-26	у	O	
9-27	них	O	
9-28	большие	O	
9-29	глаза	B-NC	
9-30	!	O	
9-31	А	O	
9-32	еще	O	
9-33	такие	O	
9-34	юные	O	
9-35	.	O	
9-36	Впрочем	O	
9-37	,	O	
9-38	что	O	
9-39	я	O	
9-40	?	O	
9-41	Мне	O	
9-42	следовало	O	
9-43	помнить	O	
9-44	,	O	
9-45	что	O	
9-46	королевские	O	
9-47	дети	B-NC	
9-48	с	O	
9-49	первого	O	
9-50	дня	B-NC	
9-51	своей	O	
9-52	жизни	B-NC	
9-53	-	O	
9-54	-	O	
9-55	взрослые	B-NC	

