 # webanno.custom.Entity | NC
#id=1
#text=Zu derselben Zeit brannte im Schlafzimmer von Nikolai Bolkonsky , wie immer , eine Nachtlampe , weil er sich in der Dunkelheit fürchtete . Desalles schlief auf seinen vier Kissen , und seine römische Nase ließ ein gleichmäßiges Schnarchen hören . Nikolai war in kaltem Schweiß erwacht und saß mit weit geöffneten Augen auf seinem Bette . Ein schrecklicher Traum hatte ihn erweckt . Er sah sich selbst und Onkel Peter mit Helmen , wie er sie in einer Ausgabe von Plutarch abgebildet gesehen hatte . Er ging mit Onkel Peter einer ungeheuren Masse Truppen voraus . Diese Truppen bestanden aus weißen , schiefen Linien , welche die Luft erfüllten wie jene Fäden , die im Herbst in der Luft umherfliegen . Vor ihnen lag der Ruhm , ebenso wie diese Fäden , nur etwas stärker . Er und Onkel Peter schwebten freudig näher und näher zum Ziel . Plötzlich wurden die Fäden , die sie fortbewegten , schwächer und verwirrten sich , und Onkel Nikolai stand vor ihnen mit drohender , strenger Gebärde
1-1	Zu	O	
1-2	derselben	O	
1-3	Zeit	B-NC	
1-4	brannte	O	
1-5	im	O	
1-6	Schlafzimmer	B-NC	
1-7	von	O	
1-8	Nikolai	B-NC	
1-9	Bolkonsky	B-NC	
1-10	,	O	
1-11	wie	O	
1-12	immer	O	
1-13	,	O	
1-14	eine	O	
1-15	Nachtlampe	B-NC	
1-16	,	O	
1-17	weil	O	
1-18	er	O	
1-19	sich	O	
1-20	in	O	
1-21	der	O	
1-22	Dunkelheit	B-NC	
1-23	fürchtete	O	
1-24	.	O	
1-25	Desalles	B-NC	
1-26	schlief	O	
1-27	auf	O	
1-28	seinen	O	
1-29	vier	O	
1-30	Kissen	B-NC	
1-31	,	O	
1-32	und	O	
1-33	seine	O	
1-34	römische	O	
1-35	Nase	B-NC	
1-36	ließ	O	
1-37	ein	O	
1-38	gleichmäßiges	O	
1-39	Schnarchen	B-NC	
1-40	hören	O	
1-41	.	O	
1-42	Nikolai	B-NC	
1-43	war	O	
1-44	in	O	
1-45	kaltem	O	
1-46	Schweiß	B-NC	
1-47	erwacht	O	
1-48	und	O	
1-49	saß	O	
1-50	mit	O	
1-51	weit	O	
1-52	geöffneten	O	
1-53	Augen	B-NC	
1-54	auf	O	
1-55	seinem	O	
1-56	Bette	B-NC	
1-57	.	O	
1-58	Ein	O	
1-59	schrecklicher	O	
1-60	Traum	B-NC	
1-61	hatte	O	
1-62	ihn	O	
