 # webanno.custom.Entity | NC
#id=1
#text=Meanwhile downstairs in young Nicholas Bolkonski 's bedroom a little lamp was burning as usual . ( The boy was afraid of the dark and they could not cure him of it . ) Dessalles slept propped up on four pillows and his Roman nose emitted sounds of rhythmic snoring . Little Nicholas , who had just waked up in a cold perspiration , sat up in bed and gazed before him with wide-open eyes . He had awaked from a terrible dream . He had dreamed that he and Uncle Pierre , wearing helmets such as were depicted in his Plutarch , were leading a huge army . The army was made up of white slanting lines that filled the air like the cobwebs that float about in autumn and which Dessalles called les fils de la Vierge . In front was Glory , which was similar to those threads but rather thicker . He and Pierre were borne along lightly and joyously , nearer and nearer to their goal . Suddenly the threads that moved them began to slacken and become entangled and it grew difficult to move . And Uncle Nicholas stood before them in a stern and threatening attitude
1-1	Meanwhile	O	
1-2	downstairs	O	
1-3	in	O	
1-4	young	O	
1-5	Nicholas	B-NC	
1-6	Bolkonski	B-NC	
1-7	's	O	
1-8	bedroom	B-NC	
1-9	a	O	
1-10	little	O	
1-11	lamp	B-NC	
1-12	was	O	
1-13	burning	O	
1-14	as	O	
1-15	usual	O	
1-16	.	O	
1-17	(	O	
1-18	The	O	
1-19	boy	B-NC	
1-20	was	O	
1-21	afraid	O	
1-22	of	O	
1-23	the	O	
1-24	dark	B-NC	
1-25	and	O	
1-26	they	O	
1-27	could	O	
1-28	not	O	
1-29	cure	O	
1-30	him	O	
1-31	of	O	
1-32	it	O	
1-33	.	O	
1-34	)	O	
1-35	Dessalles	B-NC	
1-36	slept	O	
1-37	propped	O	
1-38	up	O	
1-39	on	O	
1-40	four	O	
1-41	pillows	B-NC	
1-42	and	O	
1-43	his	O	
1-44	Roman	B-NC	
1-45	nose	B-NC	
1-46	emitted	O	
1-47	sounds	B-NC	
1-48	of	O	
1-49	rhythmic	O	
1-50	snoring	O	
1-51	.	O	
1-52	Little	B-NC	
1-53	Nicholas	B-NC	
1-54	,	O	
1-55	who	O	
1-56	had	O	
1-57	just	O	
1-58	waked	O	
1-59	up	O	
1-60	in	O	
1-61	a	O	
1-62	cold	O	
1-63	perspiration	B-NC	
1-64	,	O	
1-65	sat	O	
1-66	up	O	
1-67	in	O	
1-68	bed	B-NC	
1-69	and	O	
1-70	gazed	O	
1-71	before	O	
1-72	him	O	
1-73	with	O	
1-74	wide-open	O	
1-75	eyes	B-NC	
1-76	.	O	
1-77	He	O	
1-78	had	O	
1-79	awaked	O	
1-80	from	O	
1-81	a	O	
1-82	terrible	O	
