 # webanno.custom.Entity | NC
#id=1
#text=В это же время внизу , в отделении Николеньки Болконского , в его спальне , как всегда , горела лампадка ( мальчик боялся темноты , и его не могли отучить от этого недостатка ) . Десаль спал высоко на своих четырех подушках , и его римский нос издавал равномерные звуки храпенья . Николенька , только что проснувшись , в холодном поту , с широко раскрытыми глазами , сидел на своей постели и смотрел перед собой . Страшный сон разбудил его . Он видел во сне себя и Пьера в касках — таких , которые были нарисованы в издании Плутарха . Они с дядей Пьером шли впереди огромного войска . Войско это было составлено из белых косых линий , наполнявших воздух подобно тем паутинам , которые летают осенью и которые Десаль называл нитями Богородицы . Впереди была слава , такая же , как и эти нити , но только несколько плотнее . Они — он и Пьер — неслись легко и радостно все ближе и ближе к цели . Вдруг нити , которые двигали их , стали ослабевать , путаться ; стало тяжело . И дядя Николай Ильич остановился перед ними в грозной и строгой позе
1-1	В	O	
1-2	это	O	
1-3	же	O	
1-4	время	B-NC	
1-5	внизу	O	
1-6	,	O	
1-7	в	O	
1-8	отделении	B-NC	
1-9	Николеньки	B-NC	
1-10	Болконского	B-NC	
1-11	,	O	
1-12	в	O	
1-13	его	O	
1-14	спальне	B-NC	
1-15	,	O	
1-16	как	O	
1-17	всегда	O	
1-18	,	O	
1-19	горела	O	
1-20	лампадка	B-NC	
1-21	(	O	
1-22	мальчик	B-NC	
1-23	боялся	O	
1-24	темноты	B-NC	
1-25	,	O	
1-26	и	O	
1-27	его	O	
1-28	не	O	
1-29	могли	O	
1-30	отучить	O	
1-31	от	O	
1-32	этого	O	
1-33	недостатка	B-NC	
1-34	)	O	
1-35	.	O	
1-36	Десаль	B-NC	
1-37	спал	O	
1-38	высоко	O	
1-39	на	O	
1-40	своих	O	
1-41	четырех	O	
1-42	подушках	B-NC	
1-43	,	O	
1-44	и	O	
1-45	его	O	
1-46	римский	O	
1-47	нос	B-NC	
1-48	издавал	O	
1-49	равномерные	O	
1-50	звуки	B-NC	
1-51	храпенья	B-NC	
1-52	.	O	
1-53	Николенька	B-NC	
1-54	,	O	
1-55	только	O	
1-56	что	O	
1-57	проснувшись	O	
1-58	,	O	
1-59	в	O	
1-60	холодном	O	
1-61	поту	B-NC	
1-62	,	O	
1-63	с	O	
1-64	широко	O	
1-65	раскрытыми	O	
1-66	глазами	B-NC	
1-67	,	O	
1-68	сидел	O	
1-69	на	O	
1-70	своей	O	
1-71	постели	B-NC	
1-72	и	O	
1-73	смотрел	O	
1-74	перед	O	
1-75	собой	O	
1-76	.	O	
1-77	Страшный	O	
1-78	сон	B-NC	
1-79	разбудил	O	
1-80	его	O	
1-81	.	O	
1-82	Он	O	
1-83	видел	O	
1-84	во	O	
1-85	сне	B-NC	
1-86	себя	O	
1-87	и	O	
1-88	Пьера	B-NC	
1-89	в	O	
1-90	касках	B-NC	
1-91	—	O	
1-92	таких	O	
1-93	,	O	
1-94	которые	O	
1-95	были	O	
1-96	нарисованы	O	
1-97	в	O	
1-98	издании	B-NC	
1-99	Плутарха	B-NC	
1-100	.	O	
1-101	Они	O	
1-102	с	O	
1-103	дядей	B-NC	
1-104	Пьером	B-NC	
1-105	шли	O	
1-106	впереди	O	
1-107	огромного	O	
1-108	войска	B-NC	
1-109	.	O	
1-110	Войско	B-NC	
1-111	это	O	
1-112	было	O	
1-113	составлено	O	
1-114	из	O	
1-115	белых	O	
1-116	косых	O	
1-117	линий	B-NC	
1-118	,	O	
1-119	наполнявших	O	
1-120	воздух	B-NC	
1-121	подобно	O	
1-122	тем	O	
1-123	паутинам	B-NC	
1-124	,	O	
1-125	которые	O	
1-126	летают	O	
1-127	осенью	B-NC	
1-128	и	O	
1-129	которые	O	
1-130	Десаль	B-NC	
1-131	называл	O	
1-132	нитями	B-NC	
1-133	Богородицы	B-NC	
1-134	.	O	
1-135	Впереди	O	
1-136	была	O	
1-137	слава	B-NC	
1-138	,	O	
1-139	такая	O	
1-140	же	O	
1-141	,	O	
1-142	как	O	
1-143	и	O	
1-144	эти	O	
1-145	нити	B-NC	
1-146	,	O	
1-147	но	O	
1-148	только	O	
1-149	несколько	O	
1-150	плотнее	O	
1-151	.	O	
1-152	Они	O	
1-153	—	O	
1-154	он	O	
1-155	и	O	
1-156	Пьер	B-NC	
1-157	—	O	
1-158	неслись	O	
1-159	легко	O	
1-160	и	O	
1-161	радостно	O	
1-162	все	O	
1-163	ближе	O	
1-164	и	O	
1-165	ближе	O	
1-166	к	O	
1-167	цели	B-NC	
1-168	.	O	
1-169	Вдруг	O	
1-170	нити	B-NC	
1-171	,	O	
1-172	которые	O	
1-173	двигали	O	
1-174	их	O	
1-175	,	O	
1-176	стали	O	
1-177	ослабевать	O	
1-178	,	O	
1-179	путаться	O	
1-180	;	O	
1-181	стало	O	
1-182	тяжело	O	
1-183	.	O	
1-184	И	O	
1-185	дядя	B-NC	
1-186	Николай	B-NC	
1-187	Ильич	B-NC	
1-188	остановился	O	
1-189	перед	O	
1-190	ними	O	
1-191	в	O	
1-192	грозной	O	
1-193	и	O	
1-194	строгой	O	
1-195	позе	B-NC	

#id=2
#text=— Это вы сделали ? — сказал он , указывая на поломанные сургучи и перья . — Я любил вас , но Аракчеев велел мне , и я убью первого , кто двинется вперед . — Николенька оглянулся на Пьера ; но Пьера уже не было . Пьер был отец — князь Андрей , и отец не имел образа и формы , но он был , и , видя его , Николенька почувствовал слабость любви ; он почувствовал себя бессильным , бескостным и жидким . Отец ласкал и жалел его . Но дядя Николай Ильич все ближе и ближе надвигался на них . Ужас обхватил Николеньку , и он проснулся
2-1	—	O	
2-2	Это	O	
2-3	вы	O	
2-4	сделали	O	
2-5	?	O	
2-6	—	O	
2-7	сказал	O	
2-8	он	O	
2-9	,	O	
2-10	указывая	O	
2-11	на	O	
2-12	поломанные	O	
2-13	сургучи	B-NC	
2-14	и	O	
2-15	перья	B-NC	
2-16	.	O	
2-17	—	O	
2-18	Я	O	
2-19	любил	O	
2-20	вас	O	
2-21	,	O	
2-22	но	O	
2-23	Аракчеев	B-NC	
2-24	велел	O	
2-25	мне	O	
2-26	,	O	
2-27	и	O	
2-28	я	O	
2-29	убью	O	
2-30	первого	O	
2-31	,	O	
2-32	кто	O	
2-33	двинется	O	
2-34	вперед	O	
2-35	.	O	
2-36	—	O	
2-37	Николенька	B-NC	
2-38	оглянулся	O	
2-39	на	O	
2-40	Пьера	B-NC	
2-41	;	O	
2-42	но	O	
2-43	Пьера	B-NC	
2-44	уже	O	
2-45	не	O	
2-46	было	O	
2-47	.	O	
2-48	Пьер	B-NC	
2-49	был	O	
2-50	отец	B-NC	
2-51	—	O	
2-52	князь	B-NC	
2-53	Андрей	B-NC	
2-54	,	O	
2-55	и	O	
2-56	отец	B-NC	
2-57	не	O	
2-58	имел	O	
2-59	образа	B-NC	
2-60	и	O	
2-61	формы	B-NC	
2-62	,	O	
2-63	но	O	
2-64	он	O	
2-65	был	O	
2-66	,	O	
2-67	и	O	
2-68	,	O	
2-69	видя	O	
2-70	его	O	
2-71	,	O	
2-72	Николенька	B-NC	
2-73	почувствовал	O	
2-74	слабость	B-NC	
2-75	любви	B-NC	
2-76	;	O	
2-77	он	O	
2-78	почувствовал	O	
2-79	себя	O	
2-80	бессильным	O	
2-81	,	O	
2-82	бескостным	O	
2-83	и	O	
2-84	жидким	O	
2-85	.	O	
2-86	Отец	B-NC	
2-87	ласкал	O	
2-88	и	O	
2-89	жалел	O	
2-90	его	O	
