 # webanno.custom.Entity | NC
#id=1
#text=»Nun , Fürst , hat die Familie Bonaparte auch Genua und Lucca in Besitz genommen ? Ich sage Ihnen , Sie sind nicht mehr mein Freund , mein getreuer Sklave , wie Sie sagen , wenn Sie noch ferner die Notwendigkeit des Krieges leugnen und noch länger die Greuel verteidigen wollen , welche dieser Antichrist begeht , denn es ist der Antichrist selbst , davon bin ich überzeugt . Setzen Sie sich hierher und erzählen Sie .
1-1	»Nun	B-NC	
1-2	,	O	
1-3	Fürst	B-NC	
1-4	,	O	
1-5	hat	O	
1-6	die	O	
1-7	Familie	B-NC	
1-8	Bonaparte	B-NC	
1-9	auch	O	
1-10	Genua	B-NC	
1-11	und	O	
1-12	Lucca	B-NC	
1-13	in	O	
1-14	Besitz	B-NC	
1-15	genommen	O	
1-16	?	O	
1-17	Ich	O	
1-18	sage	O	
1-19	Ihnen	O	
1-20	,	O	
1-21	Sie	O	
1-22	sind	O	
1-23	nicht	O	
1-24	mehr	O	
1-25	mein	O	
1-26	Freund	B-NC	
1-27	,	O	
1-28	mein	O	
1-29	getreuer	O	
1-30	Sklave	B-NC	
1-31	,	O	
1-32	wie	O	
1-33	Sie	O	
1-34	sagen	O	
1-35	,	O	
1-36	wenn	O	
1-37	Sie	O	
1-38	noch	O	
1-39	ferner	O	
1-40	die	O	
1-41	Notwendigkeit	B-NC	
1-42	des	O	
1-43	Krieges	B-NC	
1-44	leugnen	O	
1-45	und	O	
1-46	noch	O	
1-47	länger	O	
1-48	die	O	
1-49	Greuel	B-NC	
1-50	verteidigen	O	
1-51	wollen	O	
1-52	,	O	
1-53	welche	O	
1-54	dieser	O	
1-55	Antichrist	B-NC	
1-56	begeht	O	
1-57	,	O	
1-58	denn	O	
1-59	es	O	
1-60	ist	O	
1-61	der	O	
1-62	Antichrist	B-NC	
1-63	selbst	O	
1-64	,	O	
1-65	davon	O	
1-66	bin	O	
1-67	ich	O	
1-68	überzeugt	O	
1-69	.	O	
1-70	Setzen	O	
1-71	Sie	O	
1-72	sich	O	
1-73	hierher	O	
1-74	und	O	
1-75	erzählen	O	
1-76	Sie	O	
1-77	.	O	

#id=2
#text=Es war im Juni 1805 , als Anna Pawlowna Scherer diese Worte sprach . Sie war Hofdame der Kaiserin Maria Feodorowna und gehörte sogar zu dem vertrauten Kreis Ihrer Majestät . Sie sprach mit dem Fürsten Wassil , welcher zuerst zu ihrer Abendgesellschaft eingetroffen war
2-1	Es	B-NC	
2-2	war	O	
2-3	im	O	
2-4	Juni	B-NC	
2-5	1805	O	
2-6	,	O	
2-7	als	O	
2-8	Anna	B-NC	
2-9	Pawlowna	B-NC	
2-10	Scherer	B-NC	
2-11	diese	O	
2-12	Worte	B-NC	
2-13	sprach	O	
2-14	.	O	
2-15	Sie	O	
2-16	war	O	
2-17	Hofdame	B-NC	
2-18	der	O	
2-19	Kaiserin	B-NC	
2-20	Maria	B-NC	
2-21	Feodorowna	B-NC	
2-22	und	O	
2-23	gehörte	O	
2-24	sogar	O	
2-25	zu	O	
2-26	dem	O	
2-27	vertrauten	O	
2-28	Kreis	B-NC	
2-29	Ihrer	O	
2-30	Majestät	B-NC	
2-31	.	O	
2-32	Sie	O	
2-33	sprach	O	
2-34	mit	O	
2-35	dem	O	
2-36	Fürsten	B-NC	
2-37	Wassil	B-NC	
2-38	,	O	
2-39	welcher	O	
2-40	zuerst	O	
2-41	zu	O	
2-42	ihrer	O	
2-43	Abendgesellschaft	B-NC	
2-44	eingetroffen	O	
2-45	war	O	

#id=3
#text=Ein Diener in roter , kaiserlicher Livree hatte am Morgen in der ganzen Stadt Einladungsbriefe zu dieser Abendgesellschaft umhergetragen
3-1	Ein	O	
3-2	Diener	B-NC	
3-3	in	O	
3-4	roter	O	
3-5	,	O	
3-6	kaiserlicher	O	
3-7	Livree	B-NC	
3-8	hatte	O	
3-9	am	O	
3-10	Morgen	B-NC	
3-11	in	O	
3-12	der	O	
3-13	ganzen	O	
3-14	Stadt	B-NC	
3-15	Einladungsbriefe	B-NC	
3-16	zu	O	
3-17	dieser	O	
3-18	Abendgesellschaft	B-NC	
3-19	umhergetragen	O	

#id=4
#text=»O Himmel , welch heftiger Überfall ! « erwiderte der Fürst , ohne durch diesen Empfang in Aufregung zu geraten . Der Fürst trug die goldgestickte Uniform des Hofes mit Ordenssternen , seidene Strümpfe und Schnallenschuhe . Sein Gesicht zeigte beständig ein liebenswürdiges Lächeln . Er sprach Französisch , jenes gewählte Französisch , in dem unsere Großväter nicht nur sprachen , sondern auch dachten , und in dem gemessenen , herablassenden Ton eines einflußreichen Würdenträgers , der am Hofe alt geworden ist . Er näherte sich Anna Pawlowna , küßte ihr die Hand , indem er sein kahles , parfümiertes Haupt neigte , und ließ sich dann bequem auf einem Sofa nieder
4-1	»O	B-NC	
4-2	Himmel	B-NC	
4-3	,	O	
4-4	welch	O	
4-5	heftiger	O	
4-6	Überfall	B-NC	
4-7	!	O	
4-8	«	O	
4-9	erwiderte	O	
4-10	der	O	
4-11	Fürst	B-NC	
4-12	,	O	
4-13	ohne	O	
4-14	durch	O	
4-15	diesen	O	
4-16	Empfang	B-NC	
4-17	in	O	
4-18	Aufregung	B-NC	
4-19	zu	O	
4-20	geraten	O	
4-21	.	O	
4-22	Der	O	
4-23	Fürst	B-NC	
4-24	trug	O	
4-25	die	O	
4-26	goldgestickte	O	
4-27	Uniform	B-NC	
4-28	des	O	
4-29	Hofes	B-NC	
4-30	mit	O	
4-31	Ordenssternen	B-NC	
4-32	,	O	
4-33	seidene	O	
4-34	Strümpfe	B-NC	
4-35	und	O	
4-36	Schnallenschuhe	B-NC	
4-37	.	O	
4-38	Sein	O	
4-39	Gesicht	B-NC	
4-40	zeigte	O	
4-41	beständig	O	
