 # webanno.custom.Entity | NC
#id=1
#text=— Ну , князь , Генуя и Лукка — поместья фамилии Бонапарте . Нет , я вам вперед говорю , если вы мне не скажете , что у нас война , если вы еще позволите себе защищать все гадости , все ужасы этого Антихриста ( право , я верю , что он Антихрист ) , — я вас больше не знаю , вы уж не друг мой , вы уж не мой верный раб , как вы говорите . Ну , здравствуйте , здравствуйте . Я вижу , что я вас пугаю , садитесь и рассказывайте
1-1	—	O	
1-2	Ну	O	
1-3	,	O	
1-4	князь	B-NC	
1-5	,	O	
1-6	Генуя	B-NC	
1-7	и	O	
1-8	Лукка	B-NC	
1-9	—	O	
1-10	поместья	B-NC	
1-11	фамилии	B-NC	
1-12	Бонапарте	B-NC	
1-13	.	O	
1-14	Нет	O	
1-15	,	O	
1-16	я	O	
1-17	вам	O	
1-18	вперед	O	
1-19	говорю	O	
1-20	,	O	
1-21	если	O	
1-22	вы	O	
1-23	мне	O	
1-24	не	O	
1-25	скажете	O	
1-26	,	O	
1-27	что	O	
1-28	у	O	
1-29	нас	O	
1-30	война	B-NC	
1-31	,	O	
1-32	если	O	
1-33	вы	O	
1-34	еще	O	
1-35	позволите	O	
1-36	себе	O	
1-37	защищать	O	
1-38	все	O	
1-39	гадости	B-NC	
1-40	,	O	
1-41	все	O	
1-42	ужасы	B-NC	
1-43	этого	O	
1-44	Антихриста	B-NC	
1-45	(	O	
1-46	право	B-NC	
1-47	,	O	
1-48	я	O	
1-49	верю	O	
1-50	,	O	
1-51	что	O	
1-52	он	O	
1-53	Антихрист	B-NC	
1-54	)	O	
1-55	,	O	
1-56	—	O	
1-57	я	O	
1-58	вас	O	
1-59	больше	O	
1-60	не	O	
1-61	знаю	O	
1-62	,	O	
1-63	вы	O	
1-64	уж	O	
1-65	не	O	
1-66	друг	B-NC	
1-67	мой	O	
1-68	,	O	
1-69	вы	O	
1-70	уж	O	
1-71	не	O	
1-72	мой	O	
1-73	верный	O	
1-74	раб	B-NC	
1-75	,	O	
1-76	как	O	
1-77	вы	O	
1-78	говорите	O	
1-79	.	O	
1-80	Ну	O	
1-81	,	O	
1-82	здравствуйте	O	
1-83	,	O	
1-84	здравствуйте	O	
1-85	.	O	
1-86	Я	O	
1-87	вижу	O	
1-88	,	O	
1-89	что	O	
1-90	я	O	
1-91	вас	O	
1-92	пугаю	O	
1-93	,	O	
1-94	садитесь	O	
1-95	и	O	
1-96	рассказывайте	O	

#id=2
#text=Так говорила в июле 1805 года известная Анна Павловна Шерер , фрейлина и приближенная императрицы Марии Феодоровны , встречая важного и чиновного князя Василия , первого приехавшего на ее вечер . Анна Павловна кашляла несколько дней , у нее был грипп , как она говорила ( грипп был тогда новое слово , употреблявшееся только редкими ) . В записочках , разосланных утром с красным лакеем , было написано без различия во всех
2-1	Так	O	
2-2	говорила	O	
2-3	в	O	
2-4	июле	B-NC	
2-5	1805	O	
2-6	года	B-NC	
2-7	известная	O	
