 # webanno.custom.Entity | NC
#id=1
#text=Pjöngjang ( Nordkorea ) , 09.10.2006 – Die offizielle nordkoreanische Nachrichtenagentur KCNA gab den ersten Atomwaffentest des Landes bekannt . Der unterirdische Test sei erfolgreich verlaufen , es sei keine Radioaktivität ausgetreten . Unter Berufung auf südkoreanische Verteidigungsexperten gab die südkoreanische Nachrichtenagentur Yonhap als Zeitpunkt 10:36 Uhr Ortszeit ( 3:36 Uhr MESZ ) an . Der südkoreanische Präsident Roh Moo Hyun berief eine Krisensitzung mit den zuständigen Ministern ein , die Alarmbereitschaft der südkoreanischen Truppen wurde erhöht
1-1	Pjöngjang	B-NC	
1-2	(	O	
1-3	Nordkorea	B-NC	
1-4	)	O	
1-5	,	O	
1-6	09.10.2006	O	
1-7	–	B-NC	
1-8	Die	O	
1-9	offizielle	O	
1-10	nordkoreanische	O	
1-11	Nachrichtenagentur	B-NC	
1-12	KCNA	B-NC	
1-13	gab	O	
1-14	den	O	
1-15	ersten	O	
1-16	Atomwaffentest	B-NC	
1-17	des	O	
1-18	Landes	B-NC	
1-19	bekannt	O	
1-20	.	O	
1-21	Der	O	
1-22	unterirdische	O	
1-23	Test	B-NC	
1-24	sei	O	
1-25	erfolgreich	O	
1-26	verlaufen	O	
1-27	,	O	
1-28	es	O	
1-29	sei	O	
1-30	keine	O	
1-31	Radioaktivität	B-NC	
1-32	ausgetreten	O	
1-33	.	O	
1-34	Unter	O	
1-35	Berufung	B-NC	
1-36	auf	O	
1-37	südkoreanische	O	
1-38	Verteidigungsexperten	B-NC	
1-39	gab	O	
1-40	die	O	
1-41	südkoreanische	O	
1-42	Nachrichtenagentur	B-NC	
1-43	Yonhap	B-NC	
1-44	als	O	
1-45	Zeitpunkt	B-NC	
1-46	10:36	O	
1-47	Uhr	B-NC	
1-48	Ortszeit	B-NC	
1-49	(	O	
1-50	3:36	O	
1-51	Uhr	B-NC	
1-52	MESZ	B-NC	
1-53	)	O	
1-54	an	O	
1-55	.	O	
1-56	Der	O	
1-57	südkoreanische	O	
1-58	Präsident	B-NC	
1-59	Roh	O	
1-60	Moo	B-NC	
1-61	Hyun	B-NC	
1-62	berief	O	
1-63	eine	O	
1-64	Krisensitzung	B-NC	
1-65	mit	O	
1-66	den	O	
1-67	zuständigen	O	
1-68	Ministern	B-NC	
1-69	ein	O	
1-70	,	O	
1-71	die	O	
1-72	Alarmbereitschaft	B-NC	
1-73	der	O	
1-74	südkoreanischen	O	
1-75	Truppen	B-NC	
1-76	wurde	O	
1-77	erhöht	O	

#id=2
#text=Der südkoreanische Geheimdienst registrierte einen Erdstoß der Stärke 4,2 etwa 385 Kilometer nordöstlich von Pjöngjang im Nordosten Nordkoreas , der vermutlich durch den Atomwaffentest ausgelöst wurde . Der USGS ( U. S. Geological Survey ) bestätigt diese Daten . Eine weitere Bestätigung kam vom russischen Verteidigungsministerium laut Interfax . Allerdings ist bisher noch nicht sicher , dass der Auslöser tatsächlich eine Nuklearexplosion war
2-1	Der	O	
2-2	südkoreanische	O	
2-3	Geheimdienst	B-NC	
2-4	registrierte	O	
2-5	einen	O	
2-6	Erdstoß	B-NC	
2-7	der	O	
2-8	Stärke	B-NC	
2-9	4,2	O	
2-10	etwa	O	
2-11	385	O	
2-12	Kilometer	B-NC	
2-13	nordöstlich	O	
2-14	von	O	
2-15	Pjöngjang	B-NC	
2-16	im	O	
2-17	Nordosten	B-NC	
2-18	Nordkoreas	B-NC	
2-19	,	O	
2-20	der	O	
2-21	vermutlich	O	
2-22	durch	O	
2-23	den	O	
2-24	Atomwaffentest	B-NC	
2-25	ausgelöst	O	
2-26	wurde	O	
2-27	.	O	
2-28	Der	O	
2-29	USGS	B-NC	
2-30	(	O	
2-31	U.	B-NC	
2-32	S.	B-NC	
2-33	Geological	B-NC	
2-34	Survey	B-NC	
2-35	)	O	
2-36	bestätigt	O	
2-37	diese	O	
2-38	Daten	B-NC	
2-39	.	O	
2-40	Eine	O	
2-41	weitere	O	
2-42	Bestätigung	B-NC	
2-43	kam	O	
2-44	vom	O	
2-45	russischen	O	
2-46	Verteidigungsministerium	B-NC	
2-47	laut	O	
2-48	Interfax	B-NC	
2-49	.	O	
2-50	Allerdings	O	
2-51	ist	O	
2-52	bisher	O	
2-53	noch	O	
2-54	nicht	O	
2-55	sicher	O	
2-56	,	O	
2-57	dass	O	
2-58	der	O	
2-59	Auslöser	B-NC	
2-60	tatsächlich	O	
2-61	eine	O	
2-62	Nuklearexplosion	B-NC	
2-63	war	O	

#id=3
#text=Die kommunistische Führung in Pjöngjang hatte einen Test am vergangenen Dienstag angekündigt . Unmittelbar vor dem Test , laut CNN unter Berufung auf einen US-amerikanischen Regierungsbeamten etwa 20 Minuten , hat Nordkorea die chinesische Führung von dem bevorstehenden Test informiert . China habe die Information an die USA , Japan und Südkorea weitergegeben
3-1	Die	O	
3-2	kommunistische	O	
3-3	Führung	B-NC	
3-4	in	O	
3-5	Pjöngjang	B-NC	
3-6	hatte	O	
3-7	einen	O	
3-8	Test	B-NC	
3-9	am	O	
3-10	vergangenen	O	
3-11	Dienstag	B-NC	
3-12	angekündigt	O	
3-13	.	O	
3-14	Unmittelbar	O	
3-15	vor	O	
3-16	dem	O	
3-17	Test	B-NC	
3-18	,	O	
3-19	laut	O	
3-20	CNN	B-NC	
3-21	unter	O	
3-22	Berufung	B-NC	
3-23	auf	O	
3-24	einen	O	
3-25	US-amerikanischen	O	
3-26	Regierungsbeamten	B-NC	
3-27	etwa	O	
3-28	20	O	
3-29	Minuten	B-NC	
3-30	,	O	
3-31	hat	O	
3-32	Nordkorea	B-NC	
3-33	die	O	
3-34	chinesische	O	
3-35	Führung	B-NC	
3-36	von	O	
3-37	dem	O	
3-38	bevorstehenden	O	
3-39	Test	B-NC	
3-40	informiert	O	
3-41	.	O	
3-42	China	B-NC	
3-43	habe	O	
3-44	die	O	
3-45	Information	B-NC	
3-46	an	O	
3-47	die	O	
3-48	USA	B-NC	
3-49	,	O	
3-50	Japan	B-NC	
3-51	und	O	
3-52	Südkorea	B-NC	
3-53	weitergegeben	O	

#id=4
