 # webanno.custom.Entity | NC
#id=1
#text=According to South Korea-based Yonhap News service , and the Associated Press , North Korea has announced that it has successfully conducted its first nuclear test
1-1	According	O	
1-2	to	O	
1-3	South	B-NC	
1-4	Korea-based	O	
1-5	Yonhap	B-NC	
1-6	News	B-NC	
1-7	service	B-NC	
1-8	,	O	
1-9	and	O	
1-10	the	O	
1-11	Associated	B-NC	
1-12	Press	B-NC	
1-13	,	O	
1-14	North	B-NC	
1-15	Korea	B-NC	
1-16	has	O	
1-17	announced	O	
1-18	that	O	
1-19	it	O	
1-20	has	O	
1-21	successfully	O	
1-22	conducted	O	
1-23	its	O	
1-24	first	O	
1-25	nuclear	O	
1-26	test	B-NC	

#id=2
#text=North Korea first announced it possessed nuclear weapons in 2005 , though because it had not conducted a nuclear test its nuclear capability remained ambiguous . The United States , Japan , China , and South Korea have all urged North Korea to abandon its nuclear program . North Korea released a statement on October 3 saying that it would soon conduct a nuclear test , and also emphasized that it would neither use nuclear weapons first nor aid other countries in nuclear proliferation . The state claimed that it would only use the weapons as a deterrent against the United States and its allies . In 2003 , U. S. President George W. Bush and South Korean President Roh Moo-hyun said that they " would not tolerate " a nuclear North Korea . China and Japan have also expressed concern
2-1	North	B-NC	
2-2	Korea	B-NC	
2-3	first	O	
2-4	announced	O	
2-5	it	O	
2-6	possessed	O	
2-7	nuclear	O	
2-8	weapons	B-NC	
2-9	in	O	
2-10	2005	O	
2-11	,	O	
2-12	though	O	
2-13	because	O	
2-14	it	O	
2-15	had	O	
2-16	not	O	
2-17	conducted	O	
2-18	a	O	
2-19	nuclear	O	
2-20	test	B-NC	
2-21	its	O	
2-22	nuclear	O	
2-23	capability	B-NC	
2-24	remained	O	
2-25	ambiguous	O	
2-26	.	O	
2-27	The	O	
2-28	United	B-NC	
2-29	States	B-NC	
2-30	,	O	
2-31	Japan	B-NC	
2-32	,	O	
2-33	China	B-NC	
2-34	,	O	
2-35	and	O	
2-36	South	B-NC	
2-37	Korea	B-NC	
2-38	have	O	
2-39	all	O	
2-40	urged	O	
2-41	North	B-NC	
2-42	Korea	B-NC	
2-43	to	O	
2-44	abandon	O	
2-45	its	O	
2-46	nuclear	O	
2-47	program	B-NC	
2-48	.	O	
2-49	North	B-NC	
2-50	Korea	B-NC	
2-51	released	O	
2-52	a	O	
2-53	statement	B-NC	
2-54	on	O	
2-55	October	B-NC	
2-56	3	O	
2-57	saying	O	
2-58	that	O	
2-59	it	O	
2-60	would	O	
2-61	soon	O	
2-62	conduct	O	
2-63	a	O	
2-64	nuclear	O	
2-65	test	B-NC	
2-66	,	O	
2-67	and	O	
2-68	also	O	
2-69	emphasized	O	
2-70	that	O	
2-71	it	O	
2-72	would	O	
2-73	neither	O	
2-74	use	O	
2-75	nuclear	O	
2-76	weapons	B-NC	
