 # webanno.custom.Entity | NC
#id=1
#text=Berlin ( Deutschland ) / Brüssel ( Belgien ) / Washington , D. C. ( USA ) , 02.07.2013 – Nachdem bekannt wurde , dass der US-amerikanische Geheimdienst NSA auch die Büros von EU-Einrichtungen und deutsche Netzknoten abhört , reagierten Politiker empört . Mittlerweile hat sich auch die Bundesanwaltschaft eingeschaltet
1-1	Berlin	B-NC	
1-2	(	O	
1-3	Deutschland	B-NC	
1-4	)	O	
1-5	/	O	
1-6	Brüssel	B-NC	
1-7	(	O	
1-8	Belgien	B-NC	
1-9	)	O	
1-10	/	O	
1-11	Washington	B-NC	
1-12	,	O	
1-13	D.	B-NC	
1-14	C.	B-NC	
1-15	(	O	
1-16	USA	B-NC	
1-17	)	O	
1-18	,	O	
1-19	02.07.2013	O	
1-20	–	B-NC	
1-21	Nachdem	O	
1-22	bekannt	O	
1-23	wurde	O	
1-24	,	O	
1-25	dass	O	
1-26	der	O	
1-27	US-amerikanische	O	
1-28	Geheimdienst	B-NC	
1-29	NSA	B-NC	
1-30	auch	O	
1-31	die	O	
1-32	Büros	B-NC	
1-33	von	O	
1-34	EU-Einrichtungen	B-NC	
1-35	und	O	
1-36	deutsche	O	
1-37	Netzknoten	B-NC	
1-38	abhört	O	
1-39	,	O	
1-40	reagierten	O	
1-41	Politiker	B-NC	
1-42	empört	O	
1-43	.	O	
1-44	Mittlerweile	O	
1-45	hat	O	
1-46	sich	O	
1-47	auch	O	
1-48	die	O	
1-49	Bundesanwaltschaft	B-NC	
1-50	eingeschaltet	O	

#id=2
#text=Nach Informationen , die dem Nachrichtenmagazin „ Der Spiegel “ vorgelegt wurden , hat die NSA im Rahmen des PRISM-Programms die diplomatische Vertretung der EU in Washington und die EU-Vertretung bei den Vereinten Nationen mit Wanzen abgehört . US-amerikanische Geheimdienste sollen auch für einen Lauschangriff in Brüssel verantwortlich sein . Dieser galt offenbar einer Fernwartungsanlage im Justus-Lipsius-Gebäude des EU-Ministerrats und des Europäischen Rats
2-1	Nach	O	
2-2	Informationen	B-NC	
2-3	,	O	
2-4	die	O	
2-5	dem	O	
2-6	Nachrichtenmagazin	B-NC	
2-7	„	B-NC	
2-8	Der	O	
2-9	Spiegel	B-NC	
2-10	“	O	
2-11	vorgelegt	O	
2-12	wurden	O	
2-13	,	O	
2-14	hat	O	
2-15	die	O	
2-16	NSA	B-NC	
2-17	im	O	
2-18	Rahmen	B-NC	
2-19	des	O	
2-20	PRISM-Programms	B-NC	
2-21	die	O	
2-22	diplomatische	O	
2-23	Vertretung	B-NC	
2-24	der	O	
2-25	EU	B-NC	
2-26	in	O	
2-27	Washington	B-NC	
2-28	und	O	
2-29	die	O	
2-30	EU-Vertretung	B-NC	
2-31	bei	O	
2-32	den	O	
2-33	Vereinten	O	
2-34	Nationen	B-NC	
2-35	mit	O	
2-36	Wanzen	B-NC	
2-37	abgehört	O	
2-38	.	O	
2-39	US-amerikanische	O	
2-40	Geheimdienste	B-NC	
2-41	sollen	O	
2-42	auch	O	
2-43	für	O	
2-44	einen	O	
2-45	Lauschangriff	B-NC	
2-46	in	O	
2-47	Brüssel	B-NC	
2-48	verantwortlich	O	
2-49	sein	O	
2-50	.	O	
2-51	Dieser	O	
2-52	galt	O	
2-53	offenbar	O	
2-54	einer	O	
2-55	Fernwartungsanlage	B-NC	
2-56	im	O	
2-57	Justus-Lipsius-Gebäude	B-NC	
2-58	des	O	
2-59	EU-Ministerrats	B-NC	
2-60	und	O	
2-61	des	O	
2-62	Europäischen	O	
2-63	Rats	B-NC	

#id=3
#text=Am 30 . Juni 2013 hat der deutsche Generalbundesanwalt Ermittlungen aufgenommen , um zu klären , ob es Anhaltspunkte für staatsschutzrelevante Delikte gibt . Unterdessen hat die Washington Post PowerPoint-Folien der NSA veröffentlicht , die zeigen , dass mit PRISM die Anwender der Onlinedienste von Microsoft , Google , Facebook , YouTube , Skype und anderen in Echtzeit überwacht werden können
3-1	Am	O	
3-2	30	O	
3-3	.	O	
3-4	Juni	B-NC	
3-5	2013	O	
3-6	hat	O	
3-7	der	O	
3-8	deutsche	O	
3-9	Generalbundesanwalt	B-NC	
3-10	Ermittlungen	B-NC	
3-11	aufgenommen	O	
3-12	,	O	
3-13	um	O	
3-14	zu	O	
3-15	klären	O	
3-16	,	O	
3-17	ob	O	
3-18	es	O	
3-19	Anhaltspunkte	B-NC	
3-20	für	O	
3-21	staatsschutzrelevante	O	
3-22	Delikte	B-NC	
3-23	gibt	O	
3-24	.	O	
3-25	Unterdessen	O	
3-26	hat	O	
3-27	die	O	
3-28	Washington	B-NC	
3-29	Post	B-NC	
3-30	PowerPoint-Folien	B-NC	
3-31	der	O	
3-32	NSA	B-NC	
3-33	veröffentlicht	O	
3-34	,	O	
3-35	die	O	
3-36	zeigen	O	
3-37	,	O	
3-38	dass	O	
3-39	mit	O	
3-40	PRISM	B-NC	
3-41	die	O	
3-42	Anwender	B-NC	
3-43	der	O	
3-44	Onlinedienste	B-NC	
3-45	von	O	
3-46	Microsoft	B-NC	
3-47	,	O	
3-48	Google	B-NC	
3-49	,	O	
3-50	Facebook	B-NC	
3-51	,	O	
3-52	YouTube	B-NC	
3-53	,	O	
3-54	Skype	B-NC	
3-55	und	O	
3-56	anderen	O	
3-57	in	O	
3-58	Echtzeit	B-NC	
3-59	überwacht	O	
3-60	werden	O	
3-61	können	O	

#id=4
#text=„ Wenn die Medienberichte zutreffen , erinnert das an das Vorgehen unter Feinden während des Kalten Krieges “ , so die Bundesjustizministerin Sabine Leutheusser-Schnarrenberger ( FDP ) . Vizekanzler Philipp Rösler ( FDP ) forderte von Amerikanern und Briten Aufklärung , ob die Handlungen auch Wirtschaftsspionage einschlossen . „ Als Bundesminister für Wirtschaft und Technologie sei mir der Hinweis gestattet : Ich gehe davon aus , dass die Informationsbeschaffung ausschließlich das Ziel hat , den Terrorismus zu bekämpfen “ , so Rösler . Es erscheine jedoch fraglich , wie Verwanzungen und flächendeckende Lauschangriffe in Partnerländern mit Terrorabwehr gerechtfertigt werden sollen , so der Spiegel
4-1	„	B-NC	
4-2	Wenn	O	
4-3	die	O	
4-4	Medienberichte	B-NC	
4-5	zutreffen	O	
4-6	,	O	
4-7	erinnert	O	
4-8	das	O	
4-9	an	O	
4-10	das	O	
4-11	Vorgehen	B-NC	
4-12	unter	O	
4-13	Feinden	B-NC	
4-14	während	O	
4-15	des	O	
4-16	Kalten	O	
4-17	Krieges	B-NC	
4-18	“	O	
4-19	,	O	
4-20	so	O	
4-21	die	O	
4-22	Bundesjustizministerin	B-NC	
4-23	Sabine	B-NC	
4-24	Leutheusser-Schnarrenberger	B-NC	
4-25	(	O	
4-26	FDP	B-NC	
4-27	)	O	
4-28	.	O	
4-29	Vizekanzler	B-NC	
4-30	Philipp	B-NC	
4-31	Rösler	B-NC	
4-32	(	O	
4-33	FDP	B-NC	
4-34	)	O	
4-35	forderte	O	
4-36	von	O	
4-37	Amerikanern	B-NC	
4-38	und	O	
4-39	Briten	B-NC	
4-40	Aufklärung	B-NC	
4-41	,	O	
4-42	ob	O	
4-43	die	O	
4-44	Handlungen	B-NC	
4-45	auch	O	
4-46	Wirtschaftsspionage	B-NC	
4-47	einschlossen	O	
4-48	.	O	
4-49	„	O	
4-50	Als	O	
4-51	Bundesminister	B-NC	
4-52	für	O	
4-53	Wirtschaft	B-NC	
4-54	und	O	
4-55	Technologie	B-NC	
4-56	sei	O	
4-57	mir	O	
4-58	der	O	
4-59	Hinweis	B-NC	
4-60	gestattet	O	
4-61	:	O	
4-62	Ich	O	
4-63	gehe	O	
4-64	davon	O	
4-65	aus	O	
4-66	,	O	
4-67	dass	O	
4-68	die	O	
4-69	Informationsbeschaffung	B-NC	
4-70	ausschließlich	O	
4-71	das	O	
4-72	Ziel	B-NC	
4-73	hat	O	
4-74	,	O	
4-75	den	O	
4-76	Terrorismus	B-NC	
4-77	zu	O	
4-78	bekämpfen	O	
4-79	“	O	
4-80	,	O	
4-81	so	O	
4-82	Rösler	B-NC	
4-83	.	O	
4-84	Es	O	
4-85	erscheine	O	
4-86	jedoch	O	
4-87	fraglich	O	
4-88	,	O	
4-89	wie	O	
4-90	Verwanzungen	B-NC	
4-91	und	O	
4-92	flächendeckende	O	
4-93	Lauschangriffe	B-NC	
4-94	in	O	
4-95	Partnerländern	B-NC	
4-96	mit	O	
4-97	Terrorabwehr	B-NC	
4-98	gerechtfertigt	O	
4-99	werden	O	
4-100	sollen	O	
4-101	,	O	
4-102	so	O	
4-103	der	O	
4-104	Spiegel	B-NC	

#id=5
#text=Die NSA ist in Deutschland aktiver als in anderen europäischen Ländern . Bis zum Jahre 2004 betrieb sie in Bad Aibling eine große Abhöranlage ( Field Station 81 ) , die erst auf Druck der Europäischen Union geschlossen wurde . Die Anlagen wurden dann nach Griesheim , Menwith Hill in Großbritannien und die Türkei verlegt . Nach einer vertraulichen Klassifikation betrachtet die NSA die Bundesrepublik zwar als Partner , zugleich aber auch als Angriffsziel . Deutschland gehört damit zu den „ Partnern dritter Klasse “ . Monatlich sollen in der Bundesrepublik rund eine halbe Milliarde Kommunikationsverbindungen wie Ferngespräche , E-Mails , SMS oder Chats überwacht werden
5-1	Die	O	
5-2	NSA	B-NC	
5-3	ist	O	
5-4	in	O	
5-5	Deutschland	B-NC	
5-6	aktiver	O	
5-7	als	O	
5-8	in	O	
5-9	anderen	O	
5-10	europäischen	O	
5-11	Ländern	B-NC	
5-12	.	O	
5-13	Bis	O	
5-14	zum	O	
5-15	Jahre	B-NC	
5-16	2004	O	
5-17	betrieb	O	
5-18	sie	O	
5-19	in	O	
5-20	Bad	B-NC	
5-21	Aibling	B-NC	
5-22	eine	O	
5-23	große	O	
5-24	Abhöranlage	B-NC	
5-25	(	O	
5-26	Field	B-NC	
5-27	Station	B-NC	
5-28	81	O	
5-29	)	O	
5-30	,	O	
5-31	die	O	
5-32	erst	O	
5-33	auf	O	
5-34	Druck	B-NC	
5-35	der	O	
5-36	Europäischen	O	
5-37	Union	B-NC	
5-38	geschlossen	O	
5-39	wurde	O	
5-40	.	O	
5-41	Die	O	
5-42	Anlagen	B-NC	
5-43	wurden	O	
5-44	dann	O	
5-45	nach	O	
5-46	Griesheim	B-NC	
5-47	,	O	
5-48	Menwith	B-NC	
5-49	Hill	B-NC	
5-50	in	O	
5-51	Großbritannien	B-NC	
5-52	und	O	
5-53	die	O	
5-54	Türkei	B-NC	
5-55	verlegt	O	
5-56	.	O	
5-57	Nach	O	
5-58	einer	O	
5-59	vertraulichen	O	
5-60	Klassifikation	B-NC	
5-61	betrachtet	O	
5-62	die	O	
5-63	NSA	B-NC	
5-64	die	O	
5-65	Bundesrepublik	B-NC	
5-66	zwar	O	
5-67	als	O	
5-68	Partner	B-NC	
5-69	,	O	
5-70	zugleich	O	
5-71	aber	O	
5-72	auch	O	
5-73	als	O	
5-74	Angriffsziel	B-NC	
5-75	.	O	
5-76	Deutschland	B-NC	
5-77	gehört	O	
5-78	damit	O	
5-79	zu	O	
5-80	den	O	
5-81	„	O	
5-82	Partnern	B-NC	
5-83	dritter	O	
5-84	Klasse	B-NC	
5-85	“	O	
5-86	.	O	
5-87	Monatlich	O	
5-88	sollen	O	
5-89	in	O	
5-90	der	O	
5-91	Bundesrepublik	B-NC	
5-92	rund	O	
5-93	eine	O	
5-94	halbe	O	
5-95	Milliarde	B-NC	
5-96	Kommunikationsverbindungen	B-NC	
5-97	wie	O	
5-98	Ferngespräche	B-NC	
5-99	,	O	
5-100	E-Mails	B-NC	
5-101	,	O	
5-102	SMS	B-NC	
5-103	oder	O	
5-104	Chats	B-NC	
5-105	überwacht	O	
5-106	werden	O	

#id=6
#text=Anfang Juni 2013 hatte der Whistleblower Edward Snowden die Existenz des PRISM-Programms bekanntgemacht . Vom FBI zur Fahndung ausgeschrieben hat er mittlerweile Asyl in Ecuador und der Russischen Föderation beantragt
6-1	Anfang	B-NC	
6-2	Juni	B-NC	
6-3	2013	O	
6-4	hatte	O	
6-5	der	O	
6-6	Whistleblower	B-NC	
6-7	Edward	B-NC	
6-8	Snowden	B-NC	
6-9	die	O	
6-10	Existenz	B-NC	
6-11	des	O	
6-12	PRISM-Programms	B-NC	
6-13	bekanntgemacht	O	
6-14	.	O	
6-15	Vom	O	
6-16	FBI	B-NC	
6-17	zur	O	
6-18	Fahndung	B-NC	
6-19	ausgeschrieben	O	
6-20	hat	O	
6-21	er	O	
6-22	mittlerweile	O	
6-23	Asyl	B-NC	
6-24	in	O	
6-25	Ecuador	B-NC	
6-26	und	O	
6-27	der	O	
6-28	Russischen	O	
6-29	Föderation	B-NC	
6-30	beantragt	O	

