 # webanno.custom.Entity | NC
#id=1
#text=Международный Олимпийский Комитет объявил , что хозяином 23 - й зимней Олимпиады станет южнокорейский город Пхенчхан . Об этом Международный Олимпийский Комитет объявил во вторник на заседании в Дурбане ( ЮАР ) . С Пхенчханом конкурировали немецкий Мюнхен и французский Анси
1-1	Международный	O	
1-2	Олимпийский	O	
1-3	Комитет	B-NC	
1-4	объявил	O	
1-5	,	O	
1-6	что	O	
1-7	хозяином	B-NC	
1-8	23	O	
1-9	-	O	
1-10	й	O	
1-11	зимней	O	
1-12	Олимпиады	B-NC	
1-13	станет	O	
1-14	южнокорейский	O	
1-15	город	B-NC	
1-16	Пхенчхан	B-NC	
1-17	.	O	
1-18	Об	O	
1-19	этом	O	
1-20	Международный	O	
1-21	Олимпийский	O	
1-22	Комитет	B-NC	
1-23	объявил	O	
1-24	во	O	
1-25	вторник	B-NC	
1-26	на	O	
1-27	заседании	B-NC	
1-28	в	O	
1-29	Дурбане	B-NC	
1-30	(	O	
1-31	ЮАР	B-NC	
1-32	)	O	
1-33	.	O	
1-34	С	O	
1-35	Пхенчханом	B-NC	
1-36	конкурировали	O	
1-37	немецкий	O	
1-38	Мюнхен	B-NC	
1-39	и	O	
1-40	французский	O	
1-41	Анси	B-NC	

#id=2
#text=В Дурбан прибыли ведущие политические и спортивные фигуры соперничавших стран . От Южной Кореи присутствовал президент страны Ли Мен Бак и чемпионка мира по фигурному катанию Ким Ен А . Мюнхенскую делегацию возглавлял президент ФРГ Кристиан Вульф , а Анси - французский премьер Франсуа Фийон
2-1	В	O	
2-2	Дурбан	B-NC	
2-3	прибыли	O	
2-4	ведущие	O	
2-5	политические	O	
2-6	и	O	
2-7	спортивные	O	
2-8	фигуры	B-NC	
2-9	соперничавших	O	
2-10	стран	B-NC	
2-11	.	O	
2-12	От	O	
2-13	Южной	O	
2-14	Кореи	B-NC	
2-15	присутствовал	O	
2-16	президент	B-NC	
2-17	страны	B-NC	
2-18	Ли	B-NC	
2-19	Мен	B-NC	
2-20	Бак	B-NC	
2-21	и	O	
2-22	чемпионка	B-NC	
2-23	мира	B-NC	
2-24	по	O	
2-25	фигурному	O	
2-26	катанию	B-NC	
2-27	Ким	B-NC	
2-28	Ен	B-NC	
2-29	А	O	
2-30	.	O	
2-31	Мюнхенскую	O	
2-32	делегацию	B-NC	
2-33	возглавлял	O	
2-34	президент	B-NC	
2-35	ФРГ	B-NC	
2-36	Кристиан	B-NC	
2-37	Вульф	B-NC	
2-38	,	O	
2-39	а	O	
2-40	Анси	B-NC	
2-41	-	O	
2-42	французский	O	
2-43	премьер	B-NC	
2-44	Франсуа	B-NC	
2-45	Фийон	B-NC	

#id=3
#text=Для Южной Кореи , в прошлом уступившей право на проведение зимних игр сначала канадскому Ванкуверу , а затем российскому Сочи , победа в олимпийской гонке имела особое значение . Ли Мен Бак накануне голосования призвал членов делегации приложить все усилия для достижения «заслуженного результата»
3-1	Для	O	
3-2	Южной	O	
3-3	Кореи	B-NC	
3-4	,	O	
3-5	в	O	
3-6	прошлом	B-NC	
3-7	уступившей	B-NC	
3-8	право	B-NC	
3-9	на	O	
3-10	проведение	B-NC	
3-11	зимних	O	
3-12	игр	B-NC	
3-13	сначала	O	
3-14	канадскому	O	
3-15	Ванкуверу	B-NC	
3-16	,	O	
3-17	а	O	
3-18	затем	O	
3-19	российскому	O	
3-20	Сочи	B-NC	
3-21	,	O	
3-22	победа	B-NC	
3-23	в	O	
3-24	олимпийской	O	
3-25	гонке	B-NC	
3-26	имела	O	
3-27	особое	O	
3-28	значение	B-NC	
3-29	.	O	
3-30	Ли	O	
3-31	Мен	O	
3-32	Бак	B-NC	
3-33	накануне	O	
3-34	голосования	B-NC	
3-35	призвал	O	
3-36	членов	B-NC	
3-37	делегации	B-NC	
3-38	приложить	O	
3-39	все	O	
3-40	усилия	B-NC	
3-41	для	O	
3-42	достижения	B-NC	
3-43	«заслуженного	O	
3-44	результата»	B-NC	

#id=4
#text=Пхенчхан станет третьим азиатским городом , где пройдет зимняя Олимпиада . Ранее зимние игры дважды принимала Япония – в последний раз в 1998 году в Нагано
4-1	Пхенчхан	B-NC	
4-2	станет	O	
4-3	третьим	O	
4-4	азиатским	O	
4-5	городом	B-NC	
4-6	,	O	
4-7	где	O	
4-8	пройдет	O	
4-9	зимняя	O	
4-10	Олимпиада	B-NC	
4-11	.	O	
4-12	Ранее	O	
4-13	зимние	O	
4-14	игры	B-NC	
4-15	дважды	O	
4-16	принимала	O	
4-17	Япония	B-NC	
4-18	–	O	
4-19	в	O	
4-20	последний	O	
4-21	раз	B-NC	
4-22	в	O	
4-23	1998	O	
4-24	году	B-NC	
4-25	в	O	
4-26	Нагано	B-NC	

#id=5
#text=В 1988 в столице Южной Кореи , Сеуле , проводилась летняя Олимпиада
5-1	В	O	
5-2	1988	O	
5-3	в	O	
5-4	столице	B-NC	
5-5	Южной	O	
5-6	Кореи	B-NC	
5-7	,	O	
5-8	Сеуле	B-NC	
5-9	,	O	
5-10	проводилась	O	
5-11	летняя	O	
5-12	Олимпиада	B-NC	

