 # webanno.custom.Entity | NC
#id=1
#text=Избиратели-республиканцы в штате Флорида приняли участие в голосовании , которое может стать переломным моментом в борьбе за президентскую номинацию
1-1	Избиратели-республиканцы	B-NC	
1-2	в	O	
1-3	штате	B-NC	
1-4	Флорида	B-NC	
1-5	приняли	O	
1-6	участие	B-NC	
1-7	в	O	
1-8	голосовании	B-NC	
1-9	,	O	
1-10	которое	O	
1-11	может	O	
1-12	стать	O	
1-13	переломным	O	
1-14	моментом	B-NC	
1-15	в	O	
1-16	борьбе	B-NC	
1-17	за	O	
1-18	президентскую	O	
1-19	номинацию	B-NC	

#id=2
#text=Более 600 тысяч жителей Флориды заранее посетили избирательные участки , воспользовавшись возможностью досрочного голосования . По предварительным данным , победу одержал экс-губернатор Массачусетса Митт Ромни ( 47 процентов ) , опередивший своего ближайшего соперника — бывшего спикера Палаты представителей Ньюта Гингрича ( 32 процента )
2-1	Более	O	
2-2	600	O	
2-3	тысяч	B-NC	
2-4	жителей	B-NC	
2-5	Флориды	B-NC	
2-6	заранее	O	
2-7	посетили	O	
2-8	избирательные	O	
2-9	участки	B-NC	
2-10	,	O	
2-11	воспользовавшись	O	
2-12	возможностью	B-NC	
2-13	досрочного	O	
2-14	голосования	B-NC	
2-15	.	O	
2-16	По	O	
2-17	предварительным	O	
2-18	данным	B-NC	
2-19	,	O	
2-20	победу	B-NC	
2-21	одержал	O	
2-22	экс-губернатор	B-NC	
2-23	Массачусетса	B-NC	
2-24	Митт	B-NC	
2-25	Ромни	B-NC	
2-26	(	O	
2-27	47	O	
2-28	процентов	B-NC	
2-29	)	O	
2-30	,	O	
2-31	опередивший	O	
2-32	своего	O	
2-33	ближайшего	O	
2-34	соперника	B-NC	
2-35	—	O	
2-36	бывшего	O	
2-37	спикера	B-NC	
2-38	Палаты	B-NC	
2-39	представителей	B-NC	
2-40	Ньюта	B-NC	
2-41	Гингрича	B-NC	
2-42	(	O	
2-43	32	O	
2-44	процента	B-NC	
2-45	)	O	

#id=3
#text=В списке претендентов на номинацию значились также бывший сенатор Рик Санторум , получивший 13 процентов , и конгрессмен от штата Техас Рон Пол , набравший 7 процентов
3-1	В	O	
3-2	списке	B-NC	
3-3	претендентов	B-NC	
3-4	на	O	
3-5	номинацию	B-NC	
3-6	значились	O	
3-7	также	O	
3-8	бывший	O	
3-9	сенатор	B-NC	
3-10	Рик	B-NC	
3-11	Санторум	B-NC	
3-12	,	O	
