 # webanno.custom.Entity | NC
#id=1
#text=Gewiß seid Ihr alle voll Unruhe , daß ich so lange – lange nicht geschrieben . Mutter zürnt wohl , und Clara mag glauben , ich lebe hier in Saus und Braus und vergesse mein holdes Engelsbild , so tief mir in Herz und Sinn eingeprägt , ganz und gar . – Dem ist aber nicht so ; täglich und stündlich gedenke ich Eurer aller und in süßen Träumen geht meines holden Clärchens freundliche Gestalt vorüber und lächelt mich mit ihren hellen Augen so anmutig an , wie sie wohl pflegte , wenn ich zu Euch hineintrat . – Ach wie vermochte ich denn Euch zu schreiben , in der zerrissenen Stimmung des Geistes , die mir bisher alle Gedanken verstörte ! – Etwas Entsetzliches ist in mein Leben getreten ! – Dunkle Ahnungen eines gräßlichen mir drohenden Geschicks breiten sich wie schwarze Wolkenschatten über mich aus , undurchdringlich jedem freundlichen Sonnenstrahl . – Nun soll ich Dir sagen , was mir widerfuhr . Ich muß es , das sehe ich ein , aber nur es denkend , lacht es wie toll aus mir heraus . – Ach mein herzlieber Lothar ! wie fange ich es denn an , Dich nur einigermaßen empfinden zu lassen , daß das , was mir vor einigen Tagen geschah , denn wirklich mein Leben so feindlich zerstören konnte ! Wärst Du nur hier , so könntest Du selbst schauen ; aber jetzt hältst Du mich gewiß für einen aberwitzigen Geisterseher . – Kurz und gut , das Entsetzliche , was mir geschah , dessen tödlichen Eindruck zu vermeiden ich mich vergebens bemühe , besteht in nichts anderm , als daß vor einigen Tagen , nämlich am 30 . Oktober mittags um 12 Uhr , ein Wetterglashändler in meine Stube trat und mir seine Ware anbot . Ich kaufte nichts und drohte , ihn die Treppe herabzuwerfen , worauf er aber von selbst fortging
1-1	Gewiß	O	
1-2	seid	O	
1-3	Ihr	O	
1-4	alle	O	
1-5	voll	O	
1-6	Unruhe	B-NC	
1-7	,	O	
1-8	daß	O	
1-9	ich	O	
1-10	so	O	
1-11	lange	O	
1-12	–	O	
1-13	lange	O	
1-14	nicht	O	
1-15	geschrieben	O	
1-16	.	O	
1-17	Mutter	B-NC	
1-18	zürnt	O	
1-19	wohl	O	
1-20	,	O	
1-21	und	O	
1-22	Clara	B-NC	
1-23	mag	O	
1-24	glauben	O	
1-25	,	O	
1-26	ich	O	
1-27	lebe	O	
1-28	hier	O	
1-29	in	O	
1-30	Saus	B-NC	
1-31	und	O	
1-32	Braus	B-NC	
1-33	und	O	
1-34	vergesse	O	
1-35	mein	O	
1-36	holdes	O	
1-37	Engelsbild	B-NC	
1-38	,	O	
1-39	so	O	
1-40	tief	O	
1-41	mir	O	
1-42	in	O	
1-43	Herz	B-NC	
1-44	und	O	
1-45	Sinn	B-NC	
1-46	eingeprägt	O	
1-47	,	O	
1-48	ganz	O	
1-49	und	O	
1-50	gar	O	
1-51	.	O	
1-52	–	B-NC	
1-53	Dem	O	
1-54	ist	O	
1-55	aber	O	
1-56	nicht	O	
1-57	so	O	
1-58	;	O	
1-59	täglich	O	
1-60	und	O	
1-61	stündlich	O	
1-62	gedenke	O	
1-63	ich	O	
1-64	Eurer	O	
1-65	aller	O	
1-66	und	O	
1-67	in	O	
1-68	süßen	O	
1-69	Träumen	B-NC	
1-70	geht	O	
1-71	meines	O	
1-72	holden	O	
1-73	Clärchens	B-NC	
1-74	freundliche	O	
1-75	Gestalt	B-NC	
1-76	vorüber	O	
1-77	und	O	
1-78	lächelt	O	
1-79	mich	O	
1-80	mit	O	
1-81	ihren	O	
1-82	hellen	O	
1-83	Augen	B-NC	
1-84	so	O	
1-85	anmutig	O	
1-86	an	O	
1-87	,	O	
1-88	wie	O	
1-89	sie	O	
1-90	wohl	O	
1-91	pflegte	O	
1-92	,	O	
1-93	wenn	O	
1-94	ich	O	
1-95	zu	O	
1-96	Euch	O	
1-97	hineintrat	O	
1-98	.	O	
1-99	–	B-NC	
1-100	Ach	O	
1-101	wie	O	
1-102	vermochte	O	
1-103	ich	O	
1-104	denn	O	
1-105	Euch	O	
1-106	zu	O	
1-107	schreiben	O	
1-108	,	O	
1-109	in	O	
1-110	der	O	
1-111	zerrissenen	O	
1-112	Stimmung	B-NC	
1-113	des	O	
1-114	Geistes	B-NC	
1-115	,	O	
1-116	die	O	
1-117	mir	O	
1-118	bisher	O	
1-119	alle	O	
1-120	Gedanken	B-NC	
1-121	verstörte	O	
1-122	!	O	
1-123	–	O	
1-124	Etwas	B-NC	
1-125	Entsetzliches	B-NC	
1-126	ist	O	
1-127	in	O	
1-128	mein	O	
1-129	Leben	B-NC	
1-130	getreten	O	
1-131	!	O	
1-132	–	O	
1-133	Dunkle	O	
1-134	Ahnungen	B-NC	
1-135	eines	O	
1-136	gräßlichen	O	
1-137	mir	O	
1-138	drohenden	O	
1-139	Geschicks	B-NC	
1-140	breiten	O	
1-141	sich	O	
1-142	wie	O	
1-143	schwarze	O	
1-144	Wolkenschatten	B-NC	
1-145	über	O	
1-146	mich	O	
1-147	aus	O	
1-148	,	O	
1-149	undurchdringlich	O	
1-150	jedem	O	
1-151	freundlichen	O	
1-152	Sonnenstrahl	B-NC	
1-153	.	O	
1-154	–	B-NC	
1-155	Nun	O	
1-156	soll	O	
1-157	ich	O	
1-158	Dir	O	
1-159	sagen	O	
1-160	,	O	
1-161	was	O	
1-162	mir	O	
1-163	widerfuhr	O	
1-164	.	O	
1-165	Ich	O	
1-166	muß	O	
1-167	es	O	
1-168	,	O	
1-169	das	O	
1-170	sehe	O	
1-171	ich	O	
1-172	ein	O	
1-173	,	O	
1-174	aber	O	
1-175	nur	O	
1-176	es	O	
1-177	denkend	O	
1-178	,	O	
1-179	lacht	O	
1-180	es	O	
1-181	wie	O	
1-182	toll	O	
1-183	aus	O	
1-184	mir	O	
1-185	heraus	O	
1-186	.	O	
1-187	–	B-NC	
1-188	Ach	O	
1-189	mein	O	
1-190	herzlieber	B-NC	
1-191	Lothar	B-NC	
1-192	!	O	
1-193	wie	O	
1-194	fange	O	
1-195	ich	O	
1-196	es	O	
1-197	denn	O	
1-198	an	O	
1-199	,	O	
1-200	Dich	O	
1-201	nur	O	
1-202	einigermaßen	O	
1-203	empfinden	O	
1-204	zu	O	
1-205	lassen	O	
1-206	,	O	
1-207	daß	O	
1-208	das	O	
1-209	,	O	
1-210	was	O	
1-211	mir	O	
1-212	vor	O	
1-213	einigen	O	
1-214	Tagen	B-NC	
1-215	geschah	O	
1-216	,	O	
1-217	denn	O	
1-218	wirklich	O	
1-219	mein	O	
1-220	Leben	B-NC	
1-221	so	O	
1-222	feindlich	O	
1-223	zerstören	O	
1-224	konnte	O	
1-225	!	O	
1-226	Wärst	O	
1-227	Du	O	
1-228	nur	O	
1-229	hier	O	
1-230	,	O	
1-231	so	O	
1-232	könntest	O	
1-233	Du	O	
1-234	selbst	O	
1-235	schauen	O	
1-236	;	O	
1-237	aber	O	
1-238	jetzt	O	
1-239	hältst	O	
1-240	Du	O	
1-241	mich	O	
1-242	gewiß	O	
1-243	für	O	
1-244	einen	O	
1-245	aberwitzigen	O	
1-246	Geisterseher	B-NC	
1-247	.	O	
1-248	–	B-NC	
1-249	Kurz	B-NC	
1-250	und	O	
1-251	gut	O	
1-252	,	O	
1-253	das	O	
1-254	Entsetzliche	B-NC	
1-255	,	O	
1-256	was	O	
1-257	mir	O	
1-258	geschah	O	
1-259	,	O	
1-260	dessen	O	
1-261	tödlichen	O	
1-262	Eindruck	B-NC	
1-263	zu	O	
1-264	vermeiden	O	
1-265	ich	O	
1-266	mich	O	
1-267	vergebens	O	
1-268	bemühe	O	
1-269	,	O	
1-270	besteht	O	
1-271	in	O	
1-272	nichts	O	
1-273	anderm	O	
1-274	,	O	
1-275	als	O	
1-276	daß	O	
1-277	vor	O	
1-278	einigen	O	
1-279	Tagen	B-NC	
1-280	,	O	
1-281	nämlich	O	
1-282	am	O	
1-283	30	O	
1-284	.	O	
1-285	Oktober	B-NC	
1-286	mittags	O	
1-287	um	O	
1-288	12	O	
1-289	Uhr	B-NC	
1-290	,	O	
1-291	ein	O	
1-292	Wetterglashändler	B-NC	
1-293	in	O	
1-294	meine	O	
1-295	Stube	B-NC	
1-296	trat	O	
1-297	und	O	
1-298	mir	O	
1-299	seine	O	
1-300	Ware	B-NC	
1-301	anbot	O	
1-302	.	O	
1-303	Ich	O	
1-304	kaufte	O	
1-305	nichts	O	
1-306	und	O	
1-307	drohte	O	
1-308	,	O	
1-309	ihn	O	
1-310	die	O	
1-311	Treppe	B-NC	
1-312	herabzuwerfen	O	
1-313	,	O	
1-314	worauf	O	
1-315	er	O	
1-316	aber	O	
1-317	von	O	
1-318	selbst	O	
1-319	fortging	O	

#id=2
#text=Du ahnest , daß nur ganz eigne , tief in mein Leben eingreifende Beziehungen diesem Vorfall Bedeutung geben können , ja , daß wohl die Person jenes unglückseligen Krämers gar feindlich auf mich wirken muß . So ist es in der Tat . Mit aller Kraft fasse ich mich zusammen , um ruhig und geduldig Dir aus meiner frühern Jugendzeit so viel zu erzählen , daß Deinem regen Sinn alles klar und deutlich in leuchtenden Bildern aufgehen wird . Indem ich anfangen will , höre ich Dich lachen und Clara sagen : »Das sind ja rechte Kindereien ! « – Lacht , ich bitte Euch , lacht mich recht herzlich aus ! – ich bitt Euch sehr ! – Aber Gott im Himmel ! die Haare sträuben sich mir und es ist , als flehe ich Euch an , mich auszulachen , in wahnsinniger Verzweiflung , wie Franz Moor den Daniel . – Nun fort zur Sache
2-1	Du	O	
2-2	ahnest	O	
2-3	,	O	
2-4	daß	O	
2-5	nur	O	
2-6	ganz	O	
2-7	eigne	O	
2-8	,	O	
2-9	tief	O	
2-10	in	O	
2-11	mein	O	
2-12	Leben	B-NC	
2-13	eingreifende	O	
2-14	Beziehungen	B-NC	
2-15	diesem	O	
2-16	Vorfall	B-NC	
2-17	Bedeutung	B-NC	
2-18	geben	O	
2-19	können	O	
2-20	,	O	
2-21	ja	O	
2-22	,	O	
2-23	daß	O	
2-24	wohl	O	
2-25	die	O	
2-26	Person	B-NC	
2-27	jenes	O	
2-28	unglückseligen	O	
2-29	Krämers	B-NC	
2-30	gar	O	
2-31	feindlich	O	
2-32	auf	O	
2-33	mich	O	
2-34	wirken	O	
2-35	muß	O	
2-36	.	O	
2-37	So	O	
2-38	ist	O	
2-39	es	O	
2-40	in	O	
2-41	der	O	
2-42	Tat	B-NC	
2-43	.	O	
2-44	Mit	O	
2-45	aller	O	
2-46	Kraft	B-NC	
2-47	fasse	O	
2-48	ich	O	
2-49	mich	O	
2-50	zusammen	O	
2-51	,	O	
2-52	um	O	
2-53	ruhig	O	
2-54	und	O	
2-55	geduldig	O	
2-56	Dir	O	
2-57	aus	O	
2-58	meiner	O	
2-59	frühern	O	
2-60	Jugendzeit	B-NC	
2-61	so	O	
2-62	viel	O	
2-63	zu	O	
2-64	erzählen	O	
2-65	,	O	
2-66	daß	O	
2-67	Deinem	O	
2-68	regen	O	
2-69	Sinn	B-NC	
2-70	alles	O	
2-71	klar	O	
2-72	und	O	
2-73	deutlich	O	
2-74	in	O	
2-75	leuchtenden	O	
2-76	Bildern	B-NC	
2-77	aufgehen	O	
2-78	wird	O	
2-79	.	O	
2-80	Indem	O	
2-81	ich	O	
2-82	anfangen	O	
2-83	will	O	
2-84	,	O	
2-85	höre	O	
2-86	ich	O	
2-87	Dich	O	
2-88	lachen	O	
2-89	und	O	
2-90	Clara	B-NC	
2-91	sagen	O	
