 # webanno.custom.Entity | NC
#id=1
#text=Certainly you must all be uneasy that I have not written for so long—so very long . My mother , I am sure , is angry , and Clara will believe that I am passing my time in dissipation , entirely forgetful of the fair angel - image that is so deeply imprinted in my heart and mind . Such , however , is not the case . Daily and hourly I think of you all , and in my sweet dreams the kindly form of my lovely Clara passes before me , and smiles upon me with her bright eyes as she was wont when I appeared among you . Alas , how could I write to you in the distracted mood which has hitherto disturbed my every thought ! Something horrible has crossed my path of life . Dark forebodings of a cruel , threatening , fate spread themselves over me like dark clouds , which no friendly sunbeam can penetrate . Now will I tell you what has befallen me . I must do so , that I plainly see—but if I only think of it , it will laugh out of me like mad . Ah , my dear Lothaire , how shall I begin it ? How shall I make you in any way sensible that that which occurred to me a few days ago could really have such a fatal effect on my life ? If you were here you could see for yourself , but now you will certainly take me for a crazy ghost - seer . In a word , the horrible thing which happened to me , and the painful impression of which I in vain endeavour to escape , is nothing more than this ; that some days ago , namely on the 30th of October , at twelve o'clock at noon , a barometer - dealer came into my room and offered me his wares . I bought nothing , and threatened to throw him down stairs , upon which he took himself off of his own accord
1-1	Certainly	O	
1-2	you	O	
1-3	must	O	
1-4	all	O	
1-5	be	O	
1-6	uneasy	O	
1-7	that	O	
1-8	I	O	
1-9	have	O	
1-10	not	O	
1-11	written	O	
1-12	for	O	
1-13	so	O	
1-14	long—so	B-NC	
1-15	very	O	
1-16	long	O	
1-17	.	O	
1-18	My	O	
1-19	mother	B-NC	
1-20	,	O	
1-21	I	O	
1-22	am	O	
1-23	sure	O	
1-24	,	O	
1-25	is	O	
1-26	angry	O	
1-27	,	O	
1-28	and	O	
1-29	Clara	B-NC	
1-30	will	O	
1-31	believe	O	
1-32	that	O	
1-33	I	O	
1-34	am	O	
1-35	passing	O	
1-36	my	O	
1-37	time	B-NC	
1-38	in	O	
1-39	dissipation	B-NC	
1-40	,	O	
1-41	entirely	O	
1-42	forgetful	O	
1-43	of	O	
1-44	the	O	
1-45	fair	O	
1-46	angel	B-NC	
1-47	-	O	
1-48	image	B-NC	
1-49	that	O	
1-50	is	O	
1-51	so	O	
1-52	deeply	O	
1-53	imprinted	O	
1-54	in	O	
1-55	my	O	
