 # webanno.custom.Entity | NC
#id=1
#text=Вы все , наверное , в большом беспокой­стве от того , что я так ужасно долго не писал . Матушка , пожалуй , сердится , а Клара могла подумать , что я катаюсь здесь как сыр в масле , развлекаюсь и совсем позабыл ее ангельское личи­ко , так глубоко запечатленное в моем уме и сердце . Но это совсем не так . Ежедневно и ежечасно вспоминаю я всех вас , и в сладких снах является мне приветливый образ моей милой Клэрхен и ясные глаза ее улыбаются мне так пленительно , как это бывало , когда я приходил к вам . Ах , разве я мог писать вам в том растерзанном , смятенном состоянии духа , которое до сих пор еще пу­тает все мои мысли ? ! В жизнь мою вошло нечто ужас­ное ! Смутное предчувствие грозящей мне страшной беды надвигается на меня , как черные тени облаков , сквозь которые не проникнет уже ни один приветливый солнеч­ный луч . Но надо же наконец сказать тебе , что со мной случилось . Я знаю , что должен это сделать , но , думая об этом , тут же слышу , как внутри меня раздается безум­ный хохот
1-1	Вы	O	
1-2	все	O	
1-3	,	O	
1-4	наверное	O	
1-5	,	O	
1-6	в	O	
1-7	большом	O	
1-8	беспокой­стве	B-NC	
1-9	от	O	
1-10	того	O	
1-11	,	O	
1-12	что	O	
1-13	я	O	
1-14	так	O	
1-15	ужасно	O	
1-16	долго	O	
1-17	не	O	
1-18	писал	O	
1-19	.	O	
1-20	Матушка	B-NC	
1-21	,	O	
1-22	пожалуй	O	
1-23	,	O	
1-24	сердится	O	
1-25	,	O	
1-26	а	O	
1-27	Клара	B-NC	
1-28	могла	O	
1-29	подумать	O	
1-30	,	O	
1-31	что	O	
1-32	я	O	
1-33	катаюсь	O	
1-34	здесь	O	
1-35	как	O	
1-36	сыр	B-NC	
1-37	в	O	
1-38	масле	B-NC	
1-39	,	O	
1-40	развлекаюсь	O	
1-41	и	O	
1-42	совсем	O	
1-43	позабыл	O	
1-44	ее	O	
1-45	ангельское	O	
1-46	личи­ко	B-NC	
1-47	,	O	
1-48	так	O	
1-49	глубоко	O	
1-50	запечатленное	O	
1-51	в	O	
1-52	моем	O	
1-53	уме	B-NC	
1-54	и	O	
1-55	сердце	B-NC	
1-56	.	O	
1-57	Но	O	
1-58	это	O	
1-59	совсем	O	
1-60	не	O	
1-61	так	O	
1-62	.	O	
1-63	Ежедневно	O	
1-64	и	O	
1-65	ежечасно	O	
1-66	вспоминаю	O	
1-67	я	O	
1-68	всех	O	
1-69	вас	O	
1-70	,	O	
1-71	и	O	
1-72	в	O	
1-73	сладких	O	
1-74	снах	B-NC	
1-75	является	O	
1-76	мне	O	
1-77	приветливый	O	
1-78	образ	B-NC	
1-79	моей	O	
1-80	милой	B-NC	
1-81	Клэрхен	B-NC	
1-82	и	O	
1-83	ясные	O	
1-84	глаза	B-NC	
1-85	ее	O	
1-86	улыбаются	O	
1-87	мне	O	
1-88	так	O	
1-89	пленительно	O	
1-90	,	O	
1-91	как	O	
1-92	это	O	
1-93	бывало	O	
1-94	,	O	
1-95	когда	O	
1-96	я	O	
1-97	приходил	O	
1-98	к	O	
1-99	вам	O	
1-100	.	O	
1-101	Ах	O	
1-102	,	O	
1-103	разве	O	
1-104	я	O	
1-105	мог	O	
1-106	писать	O	
1-107	вам	O	
1-108	в	O	
1-109	том	O	
1-110	растерзанном	O	
1-111	,	O	
1-112	смятенном	O	
1-113	состоянии	B-NC	
1-114	духа	B-NC	
1-115	,	O	
1-116	которое	O	
1-117	до	O	
1-118	сих	O	
1-119	пор	B-NC	
1-120	еще	O	
1-121	пу­тает	O	
1-122	все	O	
1-123	мои	O	
1-124	мысли	B-NC	
1-125	?	O	
1-126	!	O	
1-127	В	O	
1-128	жизнь	B-NC	
1-129	мою	O	
1-130	вошло	O	
1-131	нечто	O	
1-132	ужас­ное	O	
1-133	!	O	
1-134	Смутное	O	
1-135	предчувствие	B-NC	
1-136	грозящей	O	
1-137	мне	O	
1-138	страшной	O	
1-139	беды	B-NC	
1-140	надвигается	O	
1-141	на	O	
1-142	меня	O	
1-143	,	O	
1-144	как	O	
1-145	черные	O	
1-146	тени	B-NC	
1-147	облаков	B-NC	
1-148	,	O	
1-149	сквозь	O	
1-150	которые	O	
1-151	не	O	
1-152	проникнет	O	
1-153	уже	O	
1-154	ни	O	
1-155	один	O	
1-156	приветливый	O	
1-157	солнеч­ный	O	
1-158	луч	B-NC	
1-159	.	O	
1-160	Но	O	
1-161	надо	O	
1-162	же	O	
1-163	наконец	O	
1-164	сказать	O	
1-165	тебе	O	
1-166	,	O	
1-167	что	O	
1-168	со	O	
1-169	мной	O	
1-170	случилось	O	
1-171	.	O	
1-172	Я	O	
1-173	знаю	O	
1-174	,	O	
1-175	что	O	
1-176	должен	O	
1-177	это	O	
1-178	сделать	O	
1-179	,	O	
1-180	но	O	
1-181	,	O	
1-182	думая	O	
1-183	об	O	
1-184	этом	O	
1-185	,	O	
1-186	тут	O	
1-187	же	O	
1-188	слышу	O	
1-189	,	O	
1-190	как	O	
1-191	внутри	O	
1-192	меня	O	
1-193	раздается	O	
1-194	безум­ный	O	
1-195	хохот	B-NC	

#id=2
#text=Ах , дорогой мой Лотар ! Что мне сделать , чтобы хоть отчасти заставить тебя почувствовать , что то , что случилось со мною несколько дней назад , действительно могло испортить мне жизнь ? Если бы ты был здесь , ты бы сам это видел ; но теперь ты , очевидно , сочтешь меня за помешанного духовидца . Говоря коротко , то ужасное , что со мной случилось и произвело на меня убийствен­ное впечатление , от которого я напрасно стараюсь из­бавиться , состоит в том , что несколько дней назад , а именно 30 декабря в полночь ко мне в комнату пришел продавец барометров и предлагал мне свои товары . Я ни­чего не купил и пригрозил спустить его с лестницы , но он ушел сам
2-1	Ах	O	
2-2	,	O	
2-3	дорогой	O	
2-4	мой	O	
2-5	Лотар	B-NC	
2-6	!	O	
2-7	Что	O	
2-8	мне	O	
2-9	сделать	O	
2-10	,	O	
2-11	чтобы	O	
2-12	хоть	O	
2-13	отчасти	O	
