 # webanno.custom.Entity | NC
#id=1
#text=San Francisco ( Vereinigte Staaten ) , 08.07.2013 – Eine aus Seoul in Südkorea kommende Boeing 777-200ER der Asiana Airlines ist bei der Landung auf dem internationalen Flughafen von San Francisco verunglückt . Die Maschine war offenbar bei der Landung mit dem Heck aufgeschlagen und ist dann teilweise in Flammen aufgegangen . Erste Informationen , nach denen keine Menschen ums Leben gekommen seien , mussten inzwischen berichtigt werden , denn es sind mindestens zwei Menschen gestorben . Nach dem Unglück waren neben dem Flugzeug zwei chinesische Teenager tot auf der Landebahn gefunden worden . Acht Erwachsene und zwei Kinder wurden mit schweren Verletzungen ins Krankenhaus gebracht , eine Reihe weiterer Passagiere erlitt leichte Verletzungen , insgesamt 181 Menschen wurden verletzt . An Bord des Flugzeuges befanden sich 291 Passagiere ( 141 Chinesen , 77 Südkoreaner und 61 US-Amerikaner ) und 16 Besatzungsmitglieder
1-1	San	B-NC	
1-2	Francisco	B-NC	
1-3	(	O	
1-4	Vereinigte	O	
1-5	Staaten	B-NC	
1-6	)	O	
1-7	,	O	
1-8	08.07.2013	O	
1-9	–	B-NC	
1-10	Eine	O	
1-11	aus	O	
1-12	Seoul	B-NC	
1-13	in	O	
1-14	Südkorea	B-NC	
1-15	kommende	O	
1-16	Boeing	B-NC	
1-17	777-200ER	B-NC	
1-18	der	O	
1-19	Asiana	B-NC	
1-20	Airlines	B-NC	
1-21	ist	O	
1-22	bei	O	
1-23	der	O	
1-24	Landung	B-NC	
1-25	auf	O	
1-26	dem	O	
1-27	internationalen	O	
1-28	Flughafen	B-NC	
1-29	von	O	
1-30	San	B-NC	
1-31	Francisco	B-NC	
1-32	verunglückt	O	
1-33	.	O	
1-34	Die	O	
1-35	Maschine	B-NC	
1-36	war	O	
1-37	offenbar	O	
1-38	bei	O	
1-39	der	O	
1-40	Landung	B-NC	
1-41	mit	O	
1-42	dem	O	
1-43	Heck	B-NC	
1-44	aufgeschlagen	O	
1-45	und	O	
1-46	ist	O	
1-47	dann	O	
1-48	teilweise	O	
1-49	in	O	
1-50	Flammen	B-NC	
1-51	aufgegangen	O	
1-52	.	O	
1-53	Erste	O	
1-54	Informationen	B-NC	
1-55	,	O	
1-56	nach	O	
1-57	denen	O	
1-58	keine	O	
1-59	Menschen	B-NC	
1-60	ums	O	
1-61	Leben	B-NC	
1-62	gekommen	O	
1-63	seien	O	
1-64	,	O	
1-65	mussten	O	
1-66	inzwischen	O	
1-67	berichtigt	O	
1-68	werden	O	
1-69	,	O	
1-70	denn	O	
1-71	es	O	
1-72	sind	O	
1-73	mindestens	O	
1-74	zwei	O	
1-75	Menschen	B-NC	
1-76	gestorben	O	
1-77	.	O	
1-78	Nach	O	
1-79	dem	O	
1-80	Unglück	B-NC	
1-81	waren	O	
1-82	neben	O	
1-83	dem	O	
1-84	Flugzeug	B-NC	
1-85	zwei	O	
1-86	chinesische	O	
1-87	Teenager	B-NC	
1-88	tot	O	
1-89	auf	O	
1-90	der	O	
1-91	Landebahn	B-NC	
1-92	gefunden	O	
1-93	worden	O	
1-94	.	O	
1-95	Acht	O	
1-96	Erwachsene	B-NC	
1-97	und	O	
1-98	zwei	O	
1-99	Kinder	B-NC	
1-100	wurden	O	
1-101	mit	O	
1-102	schweren	O	
1-103	Verletzungen	B-NC	
1-104	ins	O	
1-105	Krankenhaus	B-NC	
1-106	gebracht	O	
1-107	,	O	
1-108	eine	O	
1-109	Reihe	B-NC	
1-110	weiterer	O	
1-111	Passagiere	B-NC	
1-112	erlitt	O	
1-113	leichte	O	
1-114	Verletzungen	B-NC	
1-115	,	O	
1-116	insgesamt	O	
1-117	181	O	
1-118	Menschen	B-NC	
1-119	wurden	O	
1-120	verletzt	O	
1-121	.	O	
1-122	An	O	
1-123	Bord	B-NC	
1-124	des	O	
1-125	Flugzeuges	B-NC	
1-126	befanden	O	
1-127	sich	O	
1-128	291	O	
1-129	Passagiere	B-NC	
1-130	(	O	
1-131	141	O	
1-132	Chinesen	B-NC	
1-133	,	O	
1-134	77	O	
1-135	Südkoreaner	B-NC	
1-136	und	O	
1-137	61	O	
1-138	US-Amerikaner	B-NC	
1-139	)	O	
1-140	und	O	
1-141	16	O	
1-142	Besatzungsmitglieder	B-NC	

#id=2
#text=Das Flugzeug war am Sonnabend den 6 . Juli um kurz nach 17:00 Uhr ( Ortszeit ) in Seoul gestartet und erreichte nach etwas mehr als 10 Stunden Flugzeit kurz vor 11:30 Uhr ( Ortszeit ) den Flughafen von San Francisco . Die Ursache des Unglücks ist unklar . Das Wetter in San Francisco war zum Unglückszeitpunkt gut , es wehte nur ein ganz leichter Wind . Ein Sprecher des FBI sagte , es gebe keine Hinweise auf einen Terroranschlag . Erste Vermutungen deuten darauf hin , dass das Flugzeug die Landebahn verfehlte und den Befestigungswall der in das Wasser ragenden Landebahn berührte . Aber eine Sprecherin der amerikanischen Bundesluftfahrtbehörde sagte , auch wenn der Ablauf noch unklar sei , sehe es aus , als wenn das Flugzeug gelandet und dann außer Kontrolle geraten sei . Ein Sprecher der Fluglinie schloss Triebwerksversagen oder ein anderes mechanisches Versagen als Ursache aus . Der Flugzeughersteller Boeing sicherte seine Unterstüzung bei der Suche nach der Ursache zu
2-1	Das	O	
2-2	Flugzeug	B-NC	
2-3	war	O	
2-4	am	O	
2-5	Sonnabend	B-NC	
2-6	den	O	
2-7	6	O	
2-8	.	O	
2-9	Juli	B-NC	
2-10	um	O	
2-11	kurz	O	
2-12	nach	O	
2-13	17:00	O	
2-14	Uhr	B-NC	
2-15	(	O	
2-16	Ortszeit	B-NC	
2-17	)	O	
2-18	in	O	
2-19	Seoul	B-NC	
2-20	gestartet	O	
2-21	und	O	
2-22	erreichte	O	
2-23	nach	O	
2-24	etwas	O	
2-25	mehr	O	
2-26	als	O	
2-27	10	O	
2-28	Stunden	B-NC	
2-29	Flugzeit	B-NC	
2-30	kurz	O	
2-31	vor	O	
2-32	11:30	O	
2-33	Uhr	B-NC	
2-34	(	O	
2-35	Ortszeit	B-NC	
2-36	)	O	
2-37	den	O	
2-38	Flughafen	B-NC	
2-39	von	O	
2-40	San	B-NC	
2-41	Francisco	B-NC	
2-42	.	O	
2-43	Die	O	
2-44	Ursache	B-NC	
2-45	des	O	
2-46	Unglücks	B-NC	
2-47	ist	O	
2-48	unklar	O	
2-49	.	O	
2-50	Das	O	
2-51	Wetter	B-NC	
2-52	in	O	
2-53	San	B-NC	
2-54	Francisco	B-NC	
2-55	war	O	
2-56	zum	O	
2-57	Unglückszeitpunkt	B-NC	
2-58	gut	O	
2-59	,	O	
2-60	es	O	
2-61	wehte	O	
2-62	nur	O	
2-63	ein	O	
2-64	ganz	O	
2-65	leichter	O	
2-66	Wind	B-NC	
2-67	.	O	
2-68	Ein	O	
2-69	Sprecher	B-NC	
2-70	des	O	
2-71	FBI	B-NC	
2-72	sagte	O	
2-73	,	O	
2-74	es	O	
2-75	gebe	O	
2-76	keine	O	
2-77	Hinweise	B-NC	
2-78	auf	O	
2-79	einen	O	
2-80	Terroranschlag	B-NC	
2-81	.	O	
2-82	Erste	O	
2-83	Vermutungen	B-NC	
2-84	deuten	O	
2-85	darauf	O	
2-86	hin	O	
2-87	,	O	
2-88	dass	O	
2-89	das	O	
2-90	Flugzeug	B-NC	
2-91	die	O	
2-92	Landebahn	B-NC	
2-93	verfehlte	O	
2-94	und	O	
2-95	den	O	
2-96	Befestigungswall	B-NC	
2-97	der	O	
2-98	in	O	
2-99	das	O	
2-100	Wasser	B-NC	
2-101	ragenden	O	
2-102	Landebahn	B-NC	
2-103	berührte	O	
2-104	.	O	
2-105	Aber	O	
2-106	eine	O	
2-107	Sprecherin	B-NC	
2-108	der	O	
2-109	amerikanischen	O	
2-110	Bundesluftfahrtbehörde	B-NC	
2-111	sagte	O	
2-112	,	O	
2-113	auch	O	
2-114	wenn	O	
2-115	der	O	
2-116	Ablauf	B-NC	
2-117	noch	O	
2-118	unklar	O	
2-119	sei	O	
2-120	,	O	
2-121	sehe	O	
2-122	es	O	
2-123	aus	O	
2-124	,	O	
2-125	als	O	
2-126	wenn	O	
2-127	das	O	
2-128	Flugzeug	B-NC	
2-129	gelandet	O	
2-130	und	O	
2-131	dann	O	
2-132	außer	O	
2-133	Kontrolle	B-NC	
2-134	geraten	O	
2-135	sei	O	
2-136	.	O	
2-137	Ein	O	
2-138	Sprecher	B-NC	
2-139	der	O	
2-140	Fluglinie	B-NC	
2-141	schloss	O	
2-142	Triebwerksversagen	B-NC	
2-143	oder	O	
2-144	ein	O	
2-145	anderes	O	
2-146	mechanisches	O	
2-147	Versagen	B-NC	
2-148	als	O	
2-149	Ursache	B-NC	
2-150	aus	O	
2-151	.	O	
2-152	Der	O	
2-153	Flugzeughersteller	B-NC	
2-154	Boeing	B-NC	
2-155	sicherte	O	
2-156	seine	O	
2-157	Unterstüzung	B-NC	
2-158	bei	O	
2-159	der	O	
2-160	Suche	B-NC	
2-161	nach	O	
2-162	der	O	
2-163	Ursache	B-NC	
2-164	zu	O	

#id=3
#text=Asiana Airlines ist die zweitgrößte koreanische Fluglinie und betreibt zwölf Maschinen des Typs Boeing 777-200ER . Dieser Flugzeugtyp hat eine gute Sicherheitsbilanz und ist regelmäßig auf Langstreckenflügen mit zwölf Stunden und mehr Flugzeit im Einsatz . Der Flughafen von San Francisco wurde nach dem Unglück zunächst bis auf Weiteres für den Flugverkehr gesperrt , er ist inzwischen aber wieder geöffnet worden
3-1	Asiana	B-NC	
3-2	Airlines	B-NC	
3-3	ist	O	
3-4	die	O	
3-5	zweitgrößte	O	
3-6	koreanische	O	
3-7	Fluglinie	B-NC	
3-8	und	O	
3-9	betreibt	O	
3-10	zwölf	O	
3-11	Maschinen	B-NC	
3-12	des	O	
3-13	Typs	B-NC	
3-14	Boeing	B-NC	
3-15	777-200ER	B-NC	
3-16	.	O	
3-17	Dieser	O	
3-18	Flugzeugtyp	B-NC	
3-19	hat	O	
3-20	eine	O	
3-21	gute	O	
3-22	Sicherheitsbilanz	B-NC	
3-23	und	O	
3-24	ist	O	
3-25	regelmäßig	O	
3-26	auf	O	
3-27	Langstreckenflügen	B-NC	
3-28	mit	O	
3-29	zwölf	O	
3-30	Stunden	B-NC	
3-31	und	O	
3-32	mehr	O	
3-33	Flugzeit	B-NC	
3-34	im	O	
3-35	Einsatz	B-NC	
3-36	.	O	
3-37	Der	O	
3-38	Flughafen	B-NC	
3-39	von	O	
3-40	San	B-NC	
3-41	Francisco	B-NC	
3-42	wurde	O	
3-43	nach	O	
3-44	dem	O	
3-45	Unglück	B-NC	
3-46	zunächst	O	
3-47	bis	O	
3-48	auf	O	
3-49	Weiteres	B-NC	
3-50	für	O	
3-51	den	O	
3-52	Flugverkehr	B-NC	
3-53	gesperrt	O	
3-54	,	O	
3-55	er	O	
3-56	ist	O	
3-57	inzwischen	O	
3-58	aber	O	
3-59	wieder	O	
3-60	geöffnet	O	
3-61	worden	O	

