 # webanno.custom.Entity | NC
#id=1
#text=London ( Vereinigtes Königreich ) , 09.08.2011 – Massive Ausschreitungen in London , Liverpool , Birmingham und Bristol . Die Polizei scheint die Kontrolle verloren zu haben . Flammeninfernos und Plünderungen . Premierminister Cameron unterbricht seinen Urlaub . Der nationalen Sicherheitsrat kommt zusammen und will heute Gegenmaßnahmen erörtern
1-1	London	B-NC	
1-2	(	O	
1-3	Vereinigtes	O	
1-4	Königreich	B-NC	
1-5	)	O	
1-6	,	O	
1-7	09.08.2011	O	
1-8	–	B-NC	
1-9	Massive	O	
1-10	Ausschreitungen	B-NC	
1-11	in	O	
1-12	London	B-NC	
1-13	,	O	
1-14	Liverpool	B-NC	
1-15	,	O	
1-16	Birmingham	B-NC	
1-17	und	O	
1-18	Bristol	B-NC	
1-19	.	O	
1-20	Die	O	
1-21	Polizei	B-NC	
1-22	scheint	O	
1-23	die	O	
1-24	Kontrolle	B-NC	
1-25	verloren	O	
1-26	zu	O	
1-27	haben	O	
1-28	.	O	
1-29	Flammeninfernos	B-NC	
1-30	und	O	
1-31	Plünderungen	B-NC	
1-32	.	O	
1-33	Premierminister	B-NC	
1-34	Cameron	B-NC	
1-35	unterbricht	O	
1-36	seinen	O	
1-37	Urlaub	B-NC	
1-38	.	O	
1-39	Der	O	
1-40	nationalen	O	
1-41	Sicherheitsrat	B-NC	
1-42	kommt	O	
1-43	zusammen	O	
1-44	und	O	
1-45	will	O	
1-46	heute	O	
1-47	Gegenmaßnahmen	B-NC	
1-48	erörtern	O	

#id=2
#text=Seit drei Tagen kommt die Hauptstadt nicht zur Ruhe . Viele Stadtteile sind betroffen , Von Hackney , Clapham , Croydon , Peckham , Lewisham , Camden und Ealing . Ein Funke aus dem Ortsteil Tottenham hat den Flächenbrand ausgelöst . Am Wochenende war dort ein junger Mann bei einem Polizeieinsatz getötet worden
2-1	Seit	O	
2-2	drei	O	
2-3	Tagen	B-NC	
2-4	kommt	O	
2-5	die	O	
2-6	Hauptstadt	B-NC	
2-7	nicht	O	
2-8	zur	O	
2-9	Ruhe	B-NC	
2-10	.	O	
2-11	Viele	O	
2-12	Stadtteile	B-NC	
2-13	sind	O	
2-14	betroffen	O	
2-15	,	O	
2-16	Von	O	
2-17	Hackney	B-NC	
2-18	,	O	
2-19	Clapham	B-NC	
2-20	,	O	
2-21	Croydon	B-NC	
2-22	,	O	
2-23	Peckham	B-NC	
2-24	,	O	
2-25	Lewisham	B-NC	
2-26	,	O	
2-27	Camden	B-NC	
2-28	und	O	
2-29	Ealing	B-NC	
2-30	.	O	
2-31	Ein	O	
2-32	Funke	B-NC	
2-33	aus	O	
2-34	dem	O	
2-35	Ortsteil	B-NC	
2-36	Tottenham	B-NC	
2-37	hat	O	
2-38	den	O	
2-39	Flächenbrand	B-NC	
2-40	ausgelöst	O	
2-41	.	O	
2-42	Am	O	
2-43	Wochenende	B-NC	
2-44	war	O	
2-45	dort	O	
2-46	ein	O	
2-47	junger	O	
2-48	Mann	B-NC	
2-49	bei	O	
2-50	einem	O	
2-51	Polizeieinsatz	B-NC	
2-52	getötet	O	
2-53	worden	O	

#id=3
#text=Augenzeugen beschreiben die Lage : „ Es ist wie im Krieg “ . Die Feuerwehr konnte sich ihren Weg nicht durch die Menge bahnen . Familien flüchteten aus ihren brennenden Häusern . Die britische Presse schreibt von der „ Schlacht um London “ . Beim Versuch ein Auto anzuhalten , dessen Insassen verdächtig waren , geplündert zu haben , wurde ein Polizist angefahren und schwer verletzt . Drei Personen wurden deshalb wegen versuchtem Mord an dem Polizisten festgenommen . Ein 26 - jähriger Mann wurde im Stadtteil Croydon mit mehreren Schusswunden aufgefunden , schwer verletzt wurde er in ein Krankenhaus eingeliefert . Unter den Randalierern sind auch Gruppen von Kindern im Alter zwischen zehn und vierzehn Jahren . Nach London wurden zusätzlich 1.700 Beamte entsandt . Neuste Meldungen sprechen von 10.000 zusätzlichen Beamten . Die Bevölkerung wurde sensibilisiert , die Polizei zu unterstützen . Das für Mittwoch geplante Fußballspiel England gegen Niederlande wurde abgesagt , es steht keine Polizei für das Sportereignis zur Verfügung . Weitere nationale Fußballspiele werden ebenfalls nicht stattfinden . Englands Nationalstürmer Wayne Rooney rief über Twitter zur Beendigung der Gewalt auf : „ Das ist eine Schande für unser Land . Hört auf damit ! “
3-1	Augenzeugen	B-NC	
3-2	beschreiben	O	
3-3	die	O	
3-4	Lage	B-NC	
3-5	:	O	
3-6	„	O	
3-7	Es	B-NC	
3-8	ist	O	
3-9	wie	O	
3-10	im	O	
3-11	Krieg	B-NC	
3-12	“	O	
3-13	.	O	
3-14	Die	O	
3-15	Feuerwehr	B-NC	
3-16	konnte	O	
3-17	sich	O	
3-18	ihren	O	
3-19	Weg	B-NC	
3-20	nicht	O	
3-21	durch	O	
3-22	die	O	
3-23	Menge	B-NC	
3-24	bahnen	O	
3-25	.	O	
3-26	Familien	B-NC	
3-27	flüchteten	O	
3-28	aus	O	
3-29	ihren	O	
3-30	brennenden	O	
3-31	Häusern	B-NC	
3-32	.	O	
3-33	Die	O	
3-34	britische	O	
3-35	Presse	B-NC	
3-36	schreibt	O	
3-37	von	O	
3-38	der	O	
3-39	„	O	
3-40	Schlacht	B-NC	
3-41	um	O	
3-42	London	B-NC	
3-43	“	B-NC	
3-44	.	O	
3-45	Beim	O	
3-46	Versuch	B-NC	
3-47	ein	O	
3-48	Auto	B-NC	
3-49	anzuhalten	O	
3-50	,	O	
3-51	dessen	O	
3-52	Insassen	B-NC	
3-53	verdächtig	O	
3-54	waren	O	
3-55	,	O	
3-56	geplündert	O	
3-57	zu	O	
3-58	haben	O	
3-59	,	O	
3-60	wurde	O	
