 # webanno.custom.Entity | NC
#id=1
#text=Несколько полицейских получили ранения , десятки человек были задержаны в результате беспорядков , начавшихся в субботу в одном из районов Лондона
1-1	Несколько	O	
1-2	полицейских	B-NC	
1-3	получили	O	
1-4	ранения	B-NC	
1-5	,	O	
1-6	десятки	B-NC	
1-7	человек	B-NC	
1-8	были	O	
1-9	задержаны	O	
1-10	в	O	
1-11	результате	B-NC	
1-12	беспорядков	B-NC	
1-13	,	O	
1-14	начавшихся	O	
1-15	в	O	
1-16	субботу	B-NC	
1-17	в	O	
1-18	одном	O	
1-19	из	O	
1-20	районов	B-NC	
1-21	Лондона	B-NC	

#id=2
#text=Протесты начались после того , как в четверг полицейские застрелили 29 - ти - летнего мужчину , жившего в районе Тоттенхэм . Подробности этого инцидента неизвестны , но сообщается , что убитый также стрелял в полицейского , но попал в его рацию . Сперва демонстрация проходила мирно , однако позднее участники акции прибегли к насилию
2-1	Протесты	B-NC	
2-2	начались	O	
2-3	после	O	
2-4	того	O	
2-5	,	O	
2-6	как	O	
2-7	в	O	
2-8	четверг	B-NC	
2-9	полицейские	B-NC	
2-10	застрелили	O	
2-11	29	O	
2-12	-	O	
2-13	ти	O	
2-14	-	O	
2-15	летнего	O	
2-16	мужчину	B-NC	
2-17	,	O	
2-18	жившего	O	
2-19	в	O	
2-20	районе	B-NC	
2-21	Тоттенхэм	B-NC	
2-22	.	O	
2-23	Подробности	B-NC	
2-24	этого	O	
2-25	инцидента	B-NC	
2-26	неизвестны	O	
2-27	,	O	
2-28	но	O	
2-29	сообщается	O	
2-30	,	O	
2-31	что	O	
2-32	убитый	B-NC	
2-33	также	O	
2-34	стрелял	O	
2-35	в	O	
2-36	полицейского	B-NC	
2-37	,	O	
2-38	но	O	
2-39	попал	O	
2-40	в	O	
2-41	его	O	
2-42	рацию	B-NC	
2-43	.	O	
2-44	Сперва	O	
2-45	демонстрация	B-NC	
2-46	проходила	O	
2-47	мирно	O	
2-48	,	O	
2-49	однако	O	
2-50	позднее	O	
2-51	участники	B-NC	
2-52	акции	B-NC	
2-53	прибегли	O	
2-54	к	O	
2-55	насилию	B-NC	

#id=3
#text=Толпа из нескольких сот человек разбивала окна и грабила магазины , вывозя украденное имущество на машинах . Перед тем , как порядок был восстановлен , они подожгли несколько домов , автомобилей и двухэтажный автобус
3-1	Толпа	B-NC	
3-2	из	O	
3-3	нескольких	O	
3-4	сот	B-NC	
3-5	человек	B-NC	
3-6	разбивала	O	
3-7	окна	B-NC	
3-8	и	O	
3-9	грабила	O	
3-10	магазины	B-NC	
3-11	,	O	
3-12	вывозя	O	
3-13	украденное	O	
3-14	имущество	B-NC	
3-15	на	O	
3-16	машинах	B-NC	
3-17	.	O	
3-18	Перед	O	
3-19	тем	O	
3-20	,	O	
3-21	как	O	
3-22	порядок	B-NC	
3-23	был	O	
3-24	восстановлен	O	
3-25	,	O	
3-26	они	O	
3-27	подожгли	O	
3-28	несколько	O	
3-29	домов	B-NC	
3-30	,	O	
3-31	автомобилей	B-NC	
