 # webanno.custom.Entity | NC
#id=1
#text=Football 's governing body , FIFA , today announced Russia is to host the 2018 World Cup , and Qatar is to host the 2022 World Cup . The decision was made by FIFA 's 22 executive members , who conducted a ballot in Zurich today . Russia beat England , Spain-Portugal and Holland-Belgium to host the event in 2018 . The Qatar bid was picked ahead of the United States , Australia , Japan , and South Korea to stage the 2022 tournament
1-1	Football	B-NC	
1-2	's	O	
1-3	governing	O	
1-4	body	B-NC	
1-5	,	O	
1-6	FIFA	B-NC	
1-7	,	O	
1-8	today	B-NC	
1-9	announced	O	
1-10	Russia	B-NC	
1-11	is	O	
1-12	to	O	
1-13	host	O	
1-14	the	O	
1-15	2018	O	
1-16	World	B-NC	
1-17	Cup	B-NC	
1-18	,	O	
1-19	and	O	
1-20	Qatar	B-NC	
1-21	is	O	
1-22	to	O	
1-23	host	O	
1-24	the	O	
1-25	2022	O	
1-26	World	B-NC	
1-27	Cup	B-NC	
1-28	.	O	
1-29	The	O	
1-30	decision	B-NC	
1-31	was	O	
1-32	made	O	
1-33	by	O	
1-34	FIFA	B-NC	
1-35	's	O	
1-36	22	O	
1-37	executive	O	
1-38	members	B-NC	
1-39	,	O	
1-40	who	O	
1-41	conducted	O	
1-42	a	O	
1-43	ballot	B-NC	
1-44	in	O	
1-45	Zurich	B-NC	
1-46	today	B-NC	
1-47	.	O	
1-48	Russia	B-NC	
1-49	beat	O	
1-50	England	B-NC	
1-51	,	O	
1-52	Spain-Portugal	B-NC	
1-53	and	O	
1-54	Holland-Belgium	B-NC	
1-55	to	O	
1-56	host	O	
1-57	the	O	
1-58	event	B-NC	
1-59	in	O	
1-60	2018	O	
1-61	.	O	
1-62	The	O	
1-63	Qatar	B-NC	
1-64	bid	B-NC	
1-65	was	O	
1-66	picked	O	
1-67	ahead	O	
1-68	of	O	
1-69	the	O	
1-70	United	B-NC	
1-71	States	B-NC	
1-72	,	O	
1-73	Australia	B-NC	
1-74	,	O	
1-75	Japan	B-NC	
1-76	,	O	
1-77	and	O	
1-78	South	B-NC	
1-79	Korea	B-NC	
1-80	to	O	
1-81	stage	O	
1-82	the	O	
1-83	2022	O	
1-84	tournament	B-NC	

#id=2
#text=Deputy Prime Minister of Russia Igor Shuvalov spoke briefly to react to his country 's victory . " You have entrusted us with the FIFA World Cup for 2018 and I can promise , we all can promise , you will never regret it . Let us make history together , " he said . Some analysts had suggested that Russia would not win the right to host the tournament , since Prime Minister Vladimir Putin had decided not to travel to Zurich , but remained in Moscow . FIFA President Sepp Blatter said of Russia : " I am sure that to organise the World Cup in that region , or that continent , it will do a lot of good for this part of the world .
2-1	Deputy	B-NC	
2-2	Prime	B-NC	
2-3	Minister	B-NC	
2-4	of	O	
2-5	Russia	B-NC	
2-6	Igor	B-NC	
2-7	Shuvalov	B-NC	
2-8	spoke	O	
2-9	briefly	O	
2-10	to	O	
2-11	react	O	
2-12	to	O	
2-13	his	O	
2-14	country	B-NC	
2-15	's	O	
2-16	victory	B-NC	
2-17	.	O	
2-18	"	O	
2-19	You	O	
2-20	have	O	
2-21	entrusted	O	
2-22	us	O	
2-23	with	O	
2-24	the	O	
2-25	FIFA	B-NC	
2-26	World	B-NC	
2-27	Cup	B-NC	
2-28	for	O	
2-29	2018	O	
2-30	and	O	
2-31	I	O	
2-32	can	O	
2-33	promise	O	
2-34	,	O	
2-35	we	O	
2-36	all	O	
2-37	can	O	
2-38	promise	O	
2-39	,	O	
2-40	you	O	
2-41	will	O	
2-42	never	O	
2-43	regret	O	
2-44	it	O	
2-45	.	O	
2-46	Let	O	
2-47	us	O	
2-48	make	O	
2-49	history	B-NC	
2-50	together	O	
2-51	,	O	
2-52	"	O	
2-53	he	O	
2-54	said	O	
2-55	.	O	
2-56	Some	O	
2-57	analysts	B-NC	
2-58	had	O	
2-59	suggested	O	
2-60	that	O	
2-61	Russia	B-NC	
2-62	would	O	
2-63	not	O	
2-64	win	O	
2-65	the	O	
2-66	right	B-NC	
2-67	to	O	
2-68	host	O	
2-69	the	O	
2-70	tournament	B-NC	
2-71	,	O	
2-72	since	O	
2-73	Prime	B-NC	
2-74	Minister	B-NC	
2-75	Vladimir	B-NC	
2-76	Putin	B-NC	
2-77	had	O	
2-78	decided	O	
2-79	not	O	
2-80	to	O	
2-81	travel	O	
2-82	to	O	
2-83	Zurich	B-NC	
2-84	,	O	
2-85	but	O	
2-86	remained	O	
2-87	in	O	
2-88	Moscow	B-NC	
2-89	.	O	
2-90	FIFA	B-NC	
2-91	President	B-NC	
2-92	Sepp	B-NC	
2-93	Blatter	B-NC	
2-94	said	O	
2-95	of	O	
2-96	Russia	B-NC	
2-97	:	O	
2-98	"	O	
2-99	I	O	
2-100	am	O	
2-101	sure	O	
2-102	that	O	
2-103	to	O	
2-104	organise	O	
2-105	the	O	
2-106	World	B-NC	
2-107	Cup	B-NC	
2-108	in	O	
2-109	that	O	
2-110	region	B-NC	
2-111	,	O	
2-112	or	O	
2-113	that	O	
2-114	continent	B-NC	
2-115	,	O	
2-116	it	O	
2-117	will	O	
2-118	do	O	
2-119	a	O	
2-120	lot	B-NC	
2-121	of	O	
2-122	good	O	
2-123	for	O	
2-124	this	O	
2-125	part	B-NC	
2-126	of	O	
2-127	the	O	
2-128	world	B-NC	
2-129	.	O	

#id=3
#text=Russia captain Andrey Arshavin said he was " very , very happy " with the result . " It is going to have a huge impact in sports , in our economy , in the development of the country and even in politics . The influence of football in the world is huge . You can see that even today with the presentations and those who were making them , " he said . " It’s going to be the best World Cup in history because Russians are so hospitable . I hope it will change the way that Europe and the world view Russia—and hopefully change the opinion of Russian people too .
3-1	Russia	B-NC	
3-2	captain	B-NC	
3-3	Andrey	B-NC	
3-4	Arshavin	B-NC	
3-5	said	O	
3-6	he	O	
3-7	was	O	
3-8	"	O	
3-9	very	O	
3-10	,	O	
3-11	very	O	
3-12	happy	O	
3-13	"	O	
3-14	with	O	
3-15	the	O	
3-16	result	B-NC	
3-17	.	O	
3-18	"	O	
3-19	It	O	
3-20	is	O	
3-21	going	O	
3-22	to	O	
3-23	have	O	
3-24	a	O	
3-25	huge	O	
3-26	impact	B-NC	
3-27	in	O	
3-28	sports	B-NC	
3-29	,	O	
3-30	in	O	
3-31	our	O	
3-32	economy	B-NC	
3-33	,	O	
3-34	in	O	
3-35	the	O	
3-36	development	B-NC	
3-37	of	O	
3-38	the	O	
3-39	country	B-NC	
3-40	and	O	
3-41	even	O	
3-42	in	O	
3-43	politics	B-NC	
3-44	.	O	
3-45	The	O	
3-46	influence	B-NC	
3-47	of	O	
3-48	football	B-NC	
3-49	in	O	
3-50	the	O	
3-51	world	B-NC	
3-52	is	O	
3-53	huge	O	
3-54	.	O	
3-55	You	O	
3-56	can	O	
3-57	see	O	
3-58	that	O	
3-59	even	O	
3-60	today	B-NC	
3-61	with	O	
3-62	the	O	
3-63	presentations	B-NC	
3-64	and	O	
3-65	those	O	
3-66	who	O	
3-67	were	O	
3-68	making	O	
3-69	them	O	
3-70	,	O	
3-71	"	O	
3-72	he	O	
3-73	said	O	
3-74	.	O	
3-75	"	O	
3-76	It’s	B-NC	
3-77	going	O	
3-78	to	O	
3-79	be	O	
3-80	the	O	
3-81	best	O	
3-82	World	B-NC	
3-83	Cup	B-NC	
3-84	in	O	
3-85	history	B-NC	
3-86	because	O	
3-87	Russians	B-NC	
3-88	are	O	
3-89	so	O	
3-90	hospitable	O	
3-91	.	O	
3-92	I	O	
3-93	hope	O	
3-94	it	O	
3-95	will	O	
3-96	change	O	
3-97	the	O	
3-98	way	B-NC	
3-99	that	O	
3-100	Europe	B-NC	
3-101	and	O	
3-102	the	O	
3-103	world	B-NC	
3-104	view	B-NC	
3-105	Russia—and	B-NC	
3-106	hopefully	O	
3-107	change	O	
3-108	the	O	
3-109	opinion	B-NC	
3-110	of	O	
3-111	Russian	O	
3-112	people	B-NC	
3-113	too	O	
3-114	.	O	

